"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage"
"2",1985,"Alewife",0.000766527333451891,1.35298292932915e-08,1801,0.00053854445643454,0.000994510210469242,"1.YOY"
"3",1986,"Alewife",0.000336947399549265,2.8784295712071e-09,2098,0.000231791443746708,0.000442103355351821,"1.YOY"
"4",1987,"Alewife",0.000633508306486918,1.66607480324015e-08,1891,0.000380518327157156,0.000886498285816681,"1.YOY"
"5",1988,"Alewife",0.000311553726276191,3.56602390300209e-09,1680,0.00019450998476998,0.000428597467782403,"1.YOY"
"6",1989,"Alewife",0.000275195586324093,2.57114064261298e-09,1679,0.000175811010595955,0.000374580162052231,"1.YOY"
"7",1990,"Alewife",0.000363755624062288,3.11106906535805e-09,1667,0.00025443278600235,0.000473078462122226,"1.YOY"
"8",1991,"Alewife",0.000649547435059243,1.19151609049369e-08,1678,0.000435600520773466,0.00086349434934502,"1.YOY"
"9",1992,"Alewife",0.000402277904984089,4.57942419793952e-09,1680,0.000269641876700653,0.000534913933267525,"1.YOY"
"10",1993,"Alewife",0.000257426745889686,1.20498774916289e-09,1680,0.000189389396314735,0.000325464095464638,"1.YOY"
"11",1994,"Alewife",0.000214708186585384,9.06415717266619e-10,1681,0.000155698978664489,0.000273717394506279,"1.YOY"
"12",1995,"Alewife",0.000183127356814443,7.95855983843822e-10,1680,0.000127833954427409,0.000238420759201476,"1.YOY"
"13",1996,"Alewife",0.000609386648072997,7.33773659770379e-09,1667,0.000441491892604761,0.000777281403541233,"1.YOY"
"14",1997,"Alewife",0.000441245181668326,3.43810816753879e-09,2015,0.000326319830520648,0.000556170532816003,"1.YOY"
"15",1998,"Alewife",5.06024713488684e-05,1.35354133944224e-10,2130,2.77994794188578e-05,7.3405463278879e-05,"1.YOY"
"16",1999,"Alewife",0.00136495704195416,1.59988438432949e-08,2085,0.00111704343097565,0.00161287065293266,"1.YOY"
"17",2000,"Alewife",0.000277441369664106,1.50244302324955e-09,2110,0.000201469104210749,0.000353413635117464,"1.YOY"
"18",2001,"Alewife",0.000825672666554637,3.83538190664966e-08,2083,0.00044182369713326,0.00120952163597601,"1.YOY"
"19",2002,"Alewife",9.16844954922147e-05,2.04648748710714e-10,2128,6.36456183205612e-05,0.000119723372663868,"1.YOY"
"20",2003,"Alewife",0.000373567599404439,2.48053103329396e-09,2130,0.000275949936978513,0.000471185261830366,"1.YOY"
"21",2004,"Alewife",0.000126238026989479,4.84858592120746e-10,2126,8.30797975599597e-05,0.000169396256418999,"1.YOY"
"22",2005,"Alewife",0.00145245547237475,3.89020989788263e-08,2128,0.00106587261781825,0.00183903832693126,"1.YOY"
"23",2006,"Alewife",0.000141914354130548,7.04653159441571e-10,2129,8.98855584755389e-05,0.000193943149785558,"1.YOY"
"24",2007,"Alewife",0.00124070477077249,1.49650112673834e-07,2129,0.000482485888886924,0.00199892365265806,"1.YOY"
"25",2008,"Alewife",0.000716502999185542,3.16477253296541e-08,2103,0.000367822770858211,0.00106518322751287,"1.YOY"
"26",2009,"Alewife",7.74872961081558e-05,3.57419066033794e-10,2130,4.04324572328426e-05,0.000114542134983469,"1.YOY"
"27",2010,"Alewife",0.00105246105765257,1.88350352044547e-08,2129,0.000783469103792548,0.0013214530115126,"1.YOY"
"28",2011,"Alewife",0.00028966970430739,1.74086353800855e-09,2086,0.000207891336950163,0.000371448071664618,"1.YOY"
"29",2012,"Alewife",0.000424939198278327,2.37808001545227e-09,2130,0.000329358697194887,0.000520519699361767,"1.YOY"
"30",2013,"Alewife",0.000170152426058749,1.13993686621522e-09,2130,0.000103977041924976,0.000236327810192522,"1.YOY"
"31",2014,"Alewife",0.00116118466451723,1.69309043357032e-08,2130,0.000906151799780077,0.00141621752925438,"1.YOY"
"32",2015,"Alewife",0.00125447421429103,3.26000679983884e-08,2128,0.000900586631543893,0.00160836179703816,"1.YOY"
"33",2016,"Alewife",0.00028220353618981,3.62069451161793e-09,2123,0.000164266010203246,0.000400141062176374,"1.YOY"
"34",2017,"Alewife",0.000435116364341161,3.09248205885305e-09,2130,0.000326120588839126,0.000544112139843195,"1.YOY"
"35",2018,"Alewife",0.000946047953115971,1.06844454505384e-08,2130,0.000743451394303172,0.00114864451192877,"1.YOY"
"36",2023,"Alewife",4.55720499528445e-05,5.02120620702088e-10,1793,1.65227563091587e-06,8.94918242747731e-05,"1.YOY"
"37",2024,"Alewife",0.000369837806991536,2.66179429539227e-09,2025,0.000268716350489076,0.000470959263493996,"1.YOY"
"38",2025,"Alewife",1.63610951027893e-05,2.04985845363279e-11,2014,7.4871240438576e-06,2.5235066161721e-05,"1.YOY"
"210",1985,"Alewife",4.14698798187164e-06,5.40955396531815e-12,1801,-4.11667797320976e-07,8.70564376106425e-06,"2.YEARLING"
"39",1986,"Alewife",1.57811474950685e-05,9.72053951512991e-12,2098,9.67030265975133e-06,2.18919923303858e-05,"2.YEARLING"
"41",1987,"Alewife",3.29947442227965e-05,1.66129623139046e-10,1891,7.7320531497742e-06,5.82574352958188e-05,"2.YEARLING"
"51",1988,"Alewife",2.66899349076952e-05,1.73730031892849e-10,1680,8.5582392009645e-07,5.25240458952939e-05,"2.YEARLING"
"61",1989,"Alewife",4.47559623635037e-06,1.61997899351283e-12,1679,1.98093968654659e-06,6.97025278615415e-06,"2.YEARLING"
"71",1990,"Alewife",3.11160961562045e-06,1.18424260035332e-12,1667,9.78680555966258e-07,5.24453867527465e-06,"2.YEARLING"
"81",1991,"Alewife",9.909180678725e-06,2.66175936524575e-11,1678,-2.02898621561409e-07,2.00212599790114e-05,"2.YEARLING"
"91",1992,"Alewife",2.5195255767845e-05,1.5136002971981e-10,1680,1.08167680968074e-06,4.93088347260092e-05,"2.YEARLING"
"101",1993,"Alewife",2.05453634174629e-05,8.44221489925415e-11,1680,2.53658423702574e-06,3.85541425979001e-05,"2.YEARLING"
"111",1994,"Alewife",4.50287854010419e-06,1.13482207914073e-12,1681,2.41492918745528e-06,6.5908278927531e-06,"2.YEARLING"
"121",1995,"Alewife",1.56955505151379e-05,7.9465973723483e-11,1680,-1.77661262100909e-06,3.31677136512848e-05,"2.YEARLING"
"131",1996,"Alewife",1.33504863631803e-06,3.75514070079549e-13,1667,1.33976260639699e-07,2.53612101199637e-06,"2.YEARLING"
"141",1997,"Alewife",6.10122398913793e-06,2.99270802652151e-12,2015,2.71053273886387e-06,9.49191523941198e-06,"2.YEARLING"
"151",1998,"Alewife",2.55972724634728e-06,5.72086388932077e-13,2130,1.07725395089759e-06,4.04220054179697e-06,"2.YEARLING"
"161",1999,"Alewife",1.34641141333468e-06,1.90581754818009e-13,2085,4.90760275715577e-07,2.20206255095378e-06,"2.YEARLING"
"171",2000,"Alewife",2.97259301804598e-06,4.38514442803401e-13,2110,1.67467272639724e-06,4.27051330969472e-06,"2.YEARLING"
"181",2001,"Alewife",7.62669560289524e-06,1.93968625110667e-12,2083,4.89695226289945e-06,1.0356438942891e-05,"2.YEARLING"
"191",2002,"Alewife",7.56230240101029e-06,5.82993500100439e-12,2128,2.82983176720193e-06,1.22947730348186e-05,"2.YEARLING"
"201",2003,"Alewife",9.55758826267085e-07,1.27569841395617e-13,2130,2.55707183382502e-07,1.65581046915167e-06,"2.YEARLING"
"211",2004,"Alewife",6.50963737087262e-06,5.17542480615009e-12,2126,2.05072360905728e-06,1.0968551132688e-05,"2.YEARLING"
"221",2005,"Alewife",4.06263861843587e-06,5.12500312622568e-12,2128,-3.7450145256804e-07,8.49977868943978e-06,"2.YEARLING"
"231",2006,"Alewife",1.01964343100169e-05,1.16634953914474e-11,2129,3.50266975665943e-06,1.68901988633743e-05,"2.YEARLING"
"241",2007,"Alewife",1.06427946752399e-06,1.49147405136408e-13,2129,3.07335168667045e-07,1.82122376638093e-06,"2.YEARLING"
"251",2008,"Alewife",1.48516508463581e-05,1.52246214001693e-11,2103,7.20397763348538e-06,2.24993240592307e-05,"2.YEARLING"
"261",2009,"Alewife",8.49363129785465e-06,3.01388949520479e-12,2130,5.09096206844391e-06,1.18963005272654e-05,"2.YEARLING"
"271",2010,"Alewife",4.13484520215262e-06,9.58992333553677e-12,2129,-1.93480466302067e-06,1.02044950673259e-05,"2.YEARLING"
"281",2011,"Alewife",1.87132731394829e-05,5.49858500017341e-11,2086,4.17939405072401e-06,3.32471522282417e-05,"2.YEARLING"
"291",2012,"Alewife",3.27300725277666e-06,1.1148004175282e-12,2130,1.20355870691321e-06,5.34245579864011e-06,"2.YEARLING"
"301",2013,"Alewife",4.92840021325871e-06,1.83409163412395e-12,2130,2.27399888308074e-06,7.58280154343668e-06,"2.YEARLING"
"311",2014,"Alewife",1.22946812648132e-06,2.06309686928654e-13,2130,3.39210133927972e-07,2.11972611903467e-06,"2.YEARLING"
"321",2015,"Alewife",2.68308156902702e-06,4.77512888323249e-13,2128,1.32867634466373e-06,4.03748679339032e-06,"2.YEARLING"
"331",2016,"Alewife",8.70921605302848e-06,1.15672308561357e-11,2123,2.04313219089991e-06,1.5375299915157e-05,"2.YEARLING"
"341",2017,"Alewife",3.87586808700741e-06,1.3655761703567e-12,2130,1.58545384149585e-06,6.16628233251898e-06,"2.YEARLING"
"351",2018,"Alewife",7.06999316506055e-06,1.01347801352347e-11,2130,8.30299954051073e-07,1.330968637607e-05,"2.YEARLING"
"361",2023,"Alewife",8.15268483066334e-06,4.09495798255194e-12,1793,4.18642833545636e-06,1.21189413258703e-05,"2.YEARLING"
"371",2024,"Alewife",1.00570755821383e-05,8.25015206701004e-11,2025,-7.74567257106144e-06,2.78598237353381e-05,"2.YEARLING"
"381",2025,"Alewife",1.34092150194919e-06,2.02520934719722e-13,2014,4.58875911960057e-07,2.22296709193833e-06,"2.YEARLING"
"212",1985,"Alewife",2.15316540507155e-06,3.89753057560512e-13,1801,9.29533374629205e-07,3.3767974355139e-06,"3.OLDER"
"310",1986,"Alewife",3.08428884128933e-06,4.14671640556448e-12,2098,-9.06954792418905e-07,7.07553247499757e-06,"3.OLDER"
"42",1987,"Alewife",2.09996313549351e-07,2.68254580593517e-14,1891,-1.11021878584375e-07,5.31014505683076e-07,"3.OLDER"
"52",1988,"Alewife",8.4402293243242e-07,1.97208709891282e-13,1680,-2.63775385683417e-08,1.71442340343318e-06,"3.OLDER"
