"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage"
"344",1985,"Tessellated Darter",1.40275875137614e-05,3.90407218209969e-11,1801,1.78100280832042e-06,2.62741722192024e-05,"1.YOY"
"345",1986,"Tessellated Darter",4.55704611081151e-05,5.39144361177421e-11,2098,3.11788768384831e-05,5.9962045377747e-05,"1.YOY"
"346",1987,"Tessellated Darter",1.06279381989328e-05,3.41121488512829e-12,1891,7.00792119583616e-06,1.42479552020295e-05,"1.YOY"
"347",1988,"Tessellated Darter",3.26416018836993e-05,9.1471409742501e-11,1680,1.38960272681589e-05,5.13871764992397e-05,"1.YOY"
"348",1989,"Tessellated Darter",2.85958201500351e-05,1.17732486862027e-10,1679,7.32891813001428e-06,4.98627221700559e-05,"1.YOY"
"349",1990,"Tessellated Darter",9.16554029670803e-07,2.67105885843332e-13,1663,-9.64188085907892e-08,1.9295268679324e-06,"1.YOY"
"350",1991,"Tessellated Darter",1.61299157248238e-05,1.43021841495938e-11,1678,8.71754291788271e-06,2.35422885317649e-05,"1.YOY"
"351",1992,"Tessellated Darter",2.03314175681569e-05,7.64883422739734e-12,1680,1.49107384992607e-05,2.57520966370531e-05,"1.YOY"
"352",1993,"Tessellated Darter",2.38286179855429e-05,1.39027787343967e-11,1680,1.65204776758569e-05,3.1136758295229e-05,"1.YOY"
"353",1994,"Tessellated Darter",5.94637403065146e-05,6.03610477351662e-11,1681,4.42360352601389e-05,7.46914453528902e-05,"1.YOY"
"354",1995,"Tessellated Darter",2.40230750378264e-05,1.42735042499305e-11,1680,1.66181379059844e-05,3.14280121696685e-05,"1.YOY"
"355",1996,"Tessellated Darter",1.70854336773717e-05,1.65183573571298e-11,1667,9.11944838846048e-06,2.50514189662829e-05,"1.YOY"
"356",1997,"Tessellated Darter",1.47908096641246e-05,1.53542471739003e-11,2015,7.11064847159387e-06,2.24709708566554e-05,"1.YOY"
"357",1998,"Tessellated Darter",9.70847080258488e-06,3.92457959326897e-12,2130,5.82560266607778e-06,1.3591338939092e-05,"1.YOY"
"358",1999,"Tessellated Darter",2.24415637945877e-05,2.58812050543351e-11,2085,1.24703433408652e-05,3.24127842483102e-05,"1.YOY"
"359",2000,"Tessellated Darter",1.42949758467719e-05,5.80857151963865e-11,2110,-6.4296522616179e-07,2.92329169197055e-05,"1.YOY"
"360",2001,"Tessellated Darter",6.10402991155827e-06,1.09545468850676e-11,2083,-3.83110237511707e-07,1.25911700606282e-05,"1.YOY"
"361",2002,"Tessellated Darter",5.08765567517631e-06,8.23064660604183e-12,2128,-5.35408614138752e-07,1.07107199644914e-05,"1.YOY"
"362",2003,"Tessellated Darter",3.84134197051901e-05,1.36504666180297e-10,2130,1.55137182748607e-05,6.13131211355195e-05,"1.YOY"
"363",2004,"Tessellated Darter",1.44988205786776e-05,2.54013333433439e-11,2126,4.62047242871902e-06,2.43771687286362e-05,"1.YOY"
"364",2005,"Tessellated Darter",7.41039363604645e-06,5.23569485375541e-12,2128,2.92559204063704e-06,1.18951952314559e-05,"1.YOY"
"365",2006,"Tessellated Darter",3.03337950003054e-05,7.8601998282467e-11,2129,1.29568724706419e-05,4.77107175299688e-05,"1.YOY"
"366",2007,"Tessellated Darter",1.49648689533103e-05,7.91710016352269e-11,2129,-2.47483631604236e-06,3.2404574222663e-05,"1.YOY"
"367",2008,"Tessellated Darter",2.44674441836455e-05,7.5544542557685e-11,2103,7.43183692444863e-06,4.15030514428425e-05,"1.YOY"
"368",2009,"Tessellated Darter",2.48473348110694e-05,7.312109543657e-11,2130,8.08720353983148e-06,4.16074660823073e-05,"1.YOY"
"369",2010,"Tessellated Darter",9.93238319314871e-06,5.2987425138364e-12,2129,5.42065965982423e-06,1.44441067264732e-05,"1.YOY"
"370",2011,"Tessellated Darter",1.27474835914776e-05,5.01420098696201e-11,2086,-1.1314769285013e-06,2.66264441114565e-05,"1.YOY"
"371",2012,"Tessellated Darter",1.0638358545758e-05,1.38461344642586e-11,2080,3.34512125646765e-06,1.79315958350484e-05,"1.YOY"
"372",2013,"Tessellated Darter",3.63272929360376e-06,6.18316331745843e-12,2053,-1.2410003050043e-06,8.50645889221183e-06,"1.YOY"
"373",2014,"Tessellated Darter",3.35364203127766e-06,1.44687194098435e-12,2126,9.96036625683781e-07,5.71124743687153e-06,"1.YOY"
"374",2015,"Tessellated Darter",7.89048284876755e-06,1.53324865122534e-11,2070,2.15765903793455e-07,1.55651997937417e-05,"1.YOY"
