"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage"
"382",1985,"Weakfish",0.000934464715791269,1.8239898260943e-08,1801,0.000669756587545764,0.00119917284403677,"1.YOY"
"383",1986,"Weakfish",0.00051400421410879,4.31514408830881e-09,2098,0.000385252291677911,0.000642756136539669,"1.YOY"
"384",1987,"Weakfish",0.000249150448619033,1.87238763561725e-09,1891,0.000164339103027849,0.000333961794210217,"1.YOY"
"385",1988,"Weakfish",0.00162687581509232,5.94472767687029e-08,1680,0.00114899229535697,0.00210475933482768,"1.YOY"
"386",1989,"Weakfish",0.00181842505050539,1.07624126852828e-07,1679,0.00117542517047599,0.00246142493053479,"1.YOY"
"387",1990,"Weakfish",0.000297332812332488,1.24059274904426e-09,1663,0.000228297595922829,0.000366368028742147,"1.YOY"
"388",1991,"Weakfish",0.00201488360575621,3.22810131569045e-08,1678,0.00166273201887413,0.00236703519263828,"1.YOY"
"389",1992,"Weakfish",0.000241756061048963,9.9533696059859e-10,1680,0.000179920096854689,0.000303592025243237,"1.YOY"
"390",1993,"Weakfish",0.000707137894708058,6.35420139013112e-09,1680,0.000550899934978908,0.000863375854437209,"1.YOY"
"391",1994,"Weakfish",0.00106984996688405,4.44549568045055e-08,1681,0.000656596821632638,0.00148310311213547,"1.YOY"
"392",1995,"Weakfish",0.00155627635459829,9.82317490735067e-08,1680,0.000941974240617894,0.00217057846857869,"1.YOY"
"393",1996,"Weakfish",0.000947856567639842,3.4439483813494e-08,1667,0.00058412215764002,0.00131159097763966,"1.YOY"
"394",1997,"Weakfish",0.00121812081776156,1.31118658765982e-07,2015,0.0005083987316494,0.00192784290387372,"1.YOY"
"395",1998,"Weakfish",0.00118849308817016,4.70713571207555e-08,2130,0.000763252773153936,0.00161373340318638,"1.YOY"
"396",1999,"Weakfish",0.00217042107386888,1.55962642391788e-07,2085,0.00139637579934529,0.00294446634839247,"1.YOY"
"397",2000,"Weakfish",0.00167572909891284,4.03710865457737e-08,2110,0.0012819149726118,0.00206954322521387,"1.YOY"
"398",2001,"Weakfish",0.00108459223425733,2.73757369132673e-08,2083,0.000760298184163887,0.00140888628435077,"1.YOY"
"399",2002,"Weakfish",0.000889299763463599,2.05661600861131e-08,2128,0.000608217994956974,0.00117038153197022,"1.YOY"
"400",2003,"Weakfish",0.000553822501953472,4.64962134912083e-09,2130,0.000420173763183581,0.000687471240723363,"1.YOY"
"401",2004,"Weakfish",0.000495864799586214,6.60216736573605e-08,2126,-7.75098801591826e-06,0.000999480587188346,"1.YOY"
"402",2005,"Weakfish",0.00124583729304966,1.9555884784994e-08,2128,0.000971746273514116,0.0015199283125852,"1.YOY"
"403",2006,"Weakfish",0.000114122407559072,8.32336296060328e-10,2129,5.75759389253422e-05,0.000170668876192801,"1.YOY"
"404",2007,"Weakfish",0.000506284042671025,8.98585456366143e-09,2129,0.000320488297585833,0.000692079787756218,"1.YOY"
"405",2008,"Weakfish",0.000220508392721958,1.37294418824894e-09,2103,0.000147884000169751,0.000293132785274166,"1.YOY"
"406",2009,"Weakfish",8.64881146934786e-05,1.56682855395481e-10,2130,6.19542023008886e-05,0.000111022027086069,"1.YOY"
"407",2010,"Weakfish",1.64521072055132e-05,8.05507818092732e-12,2129,1.08893391589512e-05,2.20148752520751e-05,"1.YOY"
"408",2011,"Weakfish",4.82134804754031e-05,1.4136233023068e-10,2086,2.49098857352309e-05,7.15170752155753e-05,"1.YOY"
"409",2012,"Weakfish",0.000635321796223449,1.35173787820756e-08,2080,0.000407443841323854,0.000863199751123044,"1.YOY"
"410",2013,"Weakfish",0.000272375175356579,2.91097676371738e-09,2053,0.000166626377086827,0.000378123973626331,"1.YOY"
"411",2014,"Weakfish",8.81656340916899e-05,1.95042709525025e-10,2126,6.07927264472445e-05,0.000115538541736135,"1.YOY"
"412",2015,"Weakfish",0.000105765579849131,7.14186880947109e-10,2070,5.33860006044824e-05,0.00015814515909378,"1.YOY"
"413",2016,"Weakfish",0.000227819793150248,1.32844394226596e-09,1935,0.000156382056283737,0.00029925753001676,"1.YOY"
"414",2017,"Weakfish",0.000196105586332035,6.68130972402583e-10,2093,0.00014544305635591,0.00024676811630816,"1.YOY"
"415",2018,"Weakfish",8.03930395041654e-05,1.55301520527384e-10,1950,5.59675134861244e-05,0.000104818565522206,"1.YOY"
"416",2023,"Weakfish",0.000810406031001626,3.45421349520995e-08,1793,0.000446129946648034,0.00117468211535522,"1.YOY"
"417",2024,"Weakfish",0.000104980495420851,2.71848782278534e-10,2025,7.26643341079532e-05,0.000137296656733748,"1.YOY"
"418",2025,"Weakfish",0.000493973122734813,1.71686524682686e-08,2014,0.000237155881642825,0.000750790363826802,"1.YOY"
"3821",1985,"Weakfish",1.20542796939992e-06,3.11869692318388e-13,1801,1.1086019625368e-07,2.29999574254616e-06,"2.YEARLING"
"3831",1986,"Weakfish",1.49511792023906e-07,2.23537759541997e-14,2098,-1.4353132034295e-07,4.42554904390761e-07,"2.YEARLING"
"3841",1987,"Weakfish",1.16704435360378e-06,3.79421765584161e-13,1891,-4.02611813243602e-08,2.37434988853191e-06,"2.YEARLING"
"3851",1988,"Weakfish",9.2292211106478e-06,1.18554177347499e-11,1680,2.48060845545598e-06,1.59778337658396e-05,"2.YEARLING"
"3861",1989,"Weakfish",2.53467728802957e-05,4.36231950443188e-10,1679,-1.55901134304943e-05,6.62836591910858e-05,"2.YEARLING"
"3871",1990,"Weakfish",3.36516529486723e-05,3.0134431072416e-10,1663,-3.72519400966589e-07,6.76758252983112e-05,"2.YEARLING"
"3881",1991,"Weakfish",3.13479963661222e-05,5.12096307343163e-11,1678,1.73220590559475e-05,4.53739336762969e-05,"2.YEARLING"
"3891",1992,"Weakfish",3.19758467661142e-07,1.02245477641001e-13,1680,-3.06968128954696e-07,9.4648506427698e-07,"2.YEARLING"
"3901",1993,"Weakfish",1.67302824936829e-07,2.79902352318434e-14,1680,-1.60610711939356e-07,4.95216361813015e-07,"2.YEARLING"
"3911",1994,"Weakfish",8.18961980555803e-07,1.2832617722171e-13,1681,1.16838172089716e-07,1.52108578902189e-06,"2.YEARLING"
"3921",1995,"Weakfish",2.69751712693741e-06,9.64527320723476e-13,1680,7.72594231003314e-07,4.62244002287151e-06,"2.YEARLING"
"3931",1996,"Weakfish",4.94820946757531e-06,1.33031913975299e-11,1667,-2.20060442514501e-06,1.20970233602956e-05,"2.YEARLING"
"3941",1997,"Weakfish",1.55146785972205e-07,2.40705251975052e-14,2015,-1.48940914533317e-07,4.59234486477727e-07,"2.YEARLING"
"3951",1998,"Weakfish",4.14356263864871e-06,4.30629554107413e-12,2130,7.62459616993481e-08,8.21087931559807e-06,"2.YEARLING"
"3961",1999,"Weakfish",2.8465367350877e-05,3.70691722262629e-11,2085,1.65320135882329e-05,4.03987211135211e-05,"2.YEARLING"
"3971",2000,"Weakfish",1.03489660250934e-05,9.28436933119592e-12,2110,4.37679445834126e-06,1.63211375918455e-05,"2.YEARLING"
"3981",2001,"Weakfish",1.33033947319787e-05,2.38432878839973e-11,2083,3.73279523481217e-06,2.28739942291452e-05,"2.YEARLING"
"3991",2002,"Weakfish",1.04022120063742e-06,2.15933826937997e-13,2128,1.29435062422196e-07,1.95100733885265e-06,"2.YEARLING"
"4001",2003,"Weakfish",2.29806505736741e-06,1.05955602674084e-12,2130,2.8054419444489e-07,4.31558592028992e-06,"2.YEARLING"
"4011",2004,"Weakfish",2.57811023131469e-06,7.81077256190706e-13,2126,8.45890156560263e-07,4.31033030606911e-06,"2.YEARLING"
"4021",2005,"Weakfish",8.09737278380888e-06,2.02092995169654e-11,2128,-7.13759097191094e-07,1.69085046648089e-05,"2.YEARLING"
"4031",2006,"Weakfish",1.00313619241721e-06,2.10246755883813e-13,2129,1.04423814955287e-07,1.90184856987913e-06,"2.YEARLING"
"4041",2007,"Weakfish",5.87264659825268e-06,1.59759475852915e-12,2129,3.39528509367456e-06,8.3500081028308e-06,"2.YEARLING"
"4051",2008,"Weakfish",3.48860126347169e-07,7.09646380605585e-14,2103,-1.73267974384291e-07,8.70988227078629e-07,"2.YEARLING"
"4061",2009,"Weakfish",0,0,2130,0,0,"2.YEARLING"
"4071",2010,"Weakfish",1.02326552288038e-06,1.85436104442587e-13,2129,1.79244587816186e-07,1.86728645794458e-06,"2.YEARLING"
"4081",2011,"Weakfish",2.32059934599763e-07,2.95994489030854e-14,2086,-1.05148076731659e-07,5.69267945931186e-07,"2.YEARLING"
"4091",2012,"Weakfish",0,0,2080,0,0,"2.YEARLING"
"4101",2013,"Weakfish",5.19611516846549e-07,1.48747867056986e-13,2053,-2.3631824582067e-07,1.27554127951377e-06,"2.YEARLING"
"4111",2014,"Weakfish",4.95678263563331e-07,2.45696940969159e-13,2126,-4.75851133020798e-07,1.46720766014746e-06,"2.YEARLING"
"4121",2015,"Weakfish",3.66994758811739e-06,3.26159960444303e-12,2070,1.30207337699528e-07,7.20968783853526e-06,"2.YEARLING"
"4131",2016,"Weakfish",1.57327371188271e-06,7.31144227584536e-13,1935,-1.02662941063565e-07,3.24921036482898e-06,"2.YEARLING"
"4141",2017,"Weakfish",7.8214974919471e-07,6.11758230165348e-13,2093,-7.50863759226921e-07,2.31516325761634e-06,"2.YEARLING"
"4151",2018,"Weakfish",1.12342487309698e-06,3.34935397147185e-13,1950,-1.08977537075077e-08,2.25774749990146e-06,"2.YEARLING"
"4161",2023,"Weakfish",5.55954643153712e-07,1.59751073148846e-13,1793,-2.2743524866811e-07,1.33934453497553e-06,"2.YEARLING"
"4171",2024,"Weakfish",9.47228832235553e-06,1.06158604791748e-11,2025,3.08621835587397e-06,1.58583582888371e-05,"2.YEARLING"
"4181",2025,"Weakfish",7.94512525819648e-06,6.04129916244525e-11,2014,-7.28913050388447e-06,2.31793810202774e-05,"2.YEARLING"
"3822",1985,"Weakfish",0,0,1801,0,0,"3.OLDER"
"3832",1986,"Weakfish",6.33218749367121e-07,2.46629403781379e-13,2098,-3.40152463257614e-07,1.60658996199186e-06,"3.OLDER"
"3842",1987,"Weakfish",1.73610385829694e-07,3.01405660679351e-14,1891,-1.66665970396506e-07,5.13886742055894e-07,"3.OLDER"
"3852",1988,"Weakfish",1.68564197483222e-06,2.28199432814755e-12,1680,-1.27518720143101e-06,4.64647115109546e-06,"3.OLDER"
"3862",1989,"Weakfish",2.11602908443326e-06,8.76055625086189e-13,1679,2.81511357800149e-07,3.95054681106636e-06,"3.OLDER"
"3872",1990,"Weakfish",4.73658162852843e-07,1.10172884268234e-13,1663,-1.76910935863693e-07,1.12422726156938e-06,"3.OLDER"
"3882",1991,"Weakfish",2.62558558698593e-06,6.59461774158532e-13,1678,1.03392345210698e-06,4.21724772186488e-06,"3.OLDER"
"3892",1992,"Weakfish",1.36676851433768e-06,3.39169248098837e-13,1680,2.25299030077815e-07,2.50823799859755e-06,"3.OLDER"
"3902",1993,"Weakfish",2.86660488125212e-07,4.04349412542497e-14,1680,-1.0746496185528e-07,6.80785938105705e-07,"3.OLDER"
"3912",1994,"Weakfish",0,0,1681,0,0,"3.OLDER"
"3922",1995,"Weakfish",1.87865794596639e-07,3.52935567794266e-14,1680,-1.80351162812774e-07,5.56082752006052e-07,"3.OLDER"
"3932",1996,"Weakfish",9.5140944447718e-07,2.40355823048254e-13,1667,-9.50206540402291e-09,1.91232095435838e-06,"3.OLDER"
"3942",1997,"Weakfish",2.36987993532734e-07,2.9189231833193e-14,2015,-9.7875191977997e-08,5.71851179043465e-07,"3.OLDER"
"3952",1998,"Weakfish",4.96867429481835e-07,8.4750535453525e-14,2130,-7.37266968446302e-08,1.0674615558083e-06,"3.OLDER"
