"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage"
"420",1985,"White Catfish",2.25841411626047e-05,6.5385049595495e-11,1801,6.73538075284229e-06,3.84329015723672e-05,"1.YOY"
"421",1986,"White Catfish",2.60412429780995e-05,6.5114403493784e-11,2098,1.02253176981255e-05,4.18571682580735e-05,"1.YOY"
"422",1987,"White Catfish",4.71538067709457e-05,5.26937741973083e-11,1891,3.29260731862745e-05,6.13815403556168e-05,"1.YOY"
"423",1988,"White Catfish",7.6167231318424e-05,2.85013308248934e-10,1680,4.30778504694401e-05,0.000109256612167408,"1.YOY"
"424",1989,"White Catfish",7.18305537721732e-05,7.32892901293364e-11,1679,5.50511575684697e-05,8.86099499758766e-05,"1.YOY"
"425",1990,"White Catfish",4.07960320039621e-05,7.43748872090888e-11,1663,2.38928202765289e-05,5.76992437313953e-05,"1.YOY"
"426",1991,"White Catfish",2.20569347154457e-05,1.01245515814201e-11,1678,1.58203910127861e-05,2.82934784181054e-05,"1.YOY"
"427",1992,"White Catfish",9.6941639074382e-06,1.02017535988939e-11,1680,3.43388782522657e-06,1.59544399896498e-05,"1.YOY"
"428",1993,"White Catfish",0.000136575504217177,5.55206210876121e-10,1680,9.03923884744978e-05,0.000182758619959856,"1.YOY"
"429",1994,"White Catfish",0.000142697225870599,1.56453128267482e-10,1681,0.000118181305786859,0.00016721314595434,"1.YOY"
"430",1995,"White Catfish",6.13492356300295e-05,1.19949013977945e-10,1680,3.98830731388511e-05,8.28153981212079e-05,"1.YOY"
"431",1996,"White Catfish",0.000116073013809782,2.04185462369587e-10,1667,8.80658919969464e-05,0.000144080135622617,"1.YOY"
"432",1997,"White Catfish",1.01675844040679e-05,1.47977498825729e-11,2015,2.6278870660515e-06,1.77072817420844e-05,"1.YOY"
"433",1998,"White Catfish",0.000125213603372775,4.89375079899479e-10,2130,8.18548290941834e-05,0.000168572377651366,"1.YOY"
"434",1999,"White Catfish",1.68612527535362e-05,1.22139862626646e-11,2085,1.00113440222718e-05,2.37111614848006e-05,"1.YOY"
"435",2000,"White Catfish",4.33935280526343e-05,1.17011623051785e-10,2110,2.21918335185708e-05,6.45952225866977e-05,"1.YOY"
"436",2001,"White Catfish",4.22154203941327e-05,2.20734007387835e-11,2083,3.30068821671332e-05,5.14239586211322e-05,"1.YOY"
"437",2002,"White Catfish",1.02176291346935e-05,9.94621880536401e-12,2128,4.03625435535145e-06,1.63990039140356e-05,"1.YOY"
"438",2003,"White Catfish",1.7767127952125e-05,2.06948691398858e-11,2130,8.85077167347703e-06,2.6683484230773e-05,"1.YOY"
"439",2004,"White Catfish",1.68882150834485e-05,3.92181699890598e-11,2126,4.61383029927405e-06,2.91625998676229e-05,"1.YOY"
"440",2005,"White Catfish",5.06031521873022e-05,6.59227724646032e-11,2128,3.46893555724142e-05,6.65169488021901e-05,"1.YOY"
"441",2006,"White Catfish",5.51919059142868e-05,1.08520555483584e-10,2129,3.47739587612124e-05,7.56098530673611e-05,"1.YOY"
"442",2007,"White Catfish",3.678874287532e-06,2.63345373237874e-12,2129,4.98202053820047e-07,6.85954652124395e-06,"1.YOY"
"443",2008,"White Catfish",9.89717995963123e-06,1.83789421832706e-12,2103,7.24002839656125e-06,1.25543315227012e-05,"1.YOY"
"444",2009,"White Catfish",2.21832679399323e-05,4.89765530858443e-11,2130,8.46655090069222e-06,3.58999849791724e-05,"1.YOY"
"445",2010,"White Catfish",1.38347497666672e-05,3.58937848130338e-11,2129,2.09211106245125e-06,2.55773884708832e-05,"1.YOY"
