"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage"
"458",1985,"White Perch",0.000848099763652724,1.05761350338164e-08,1801,0.00064653270199356,0.00104966682531189,"1.YOY"
"459",1986,"White Perch",0.00150453585737831,4.77430733482161e-08,2098,0.00107627216457386,0.00193279955018277,"1.YOY"
"460",1987,"White Perch",0.000623357805047404,3.33448923534134e-09,1891,0.000510177533593024,0.000736538076501785,"1.YOY"
"461",1988,"White Perch",0.00137730989228131,1.52729645275332e-08,1680,0.00113508557366534,0.00161953421089728,"1.YOY"
"462",1989,"White Perch",0.00180642304668905,5.82316716478984e-08,1679,0.00133345075384034,0.00227939533953776,"1.YOY"
"463",1990,"White Perch",0.000539299253252347,5.87096160120445e-08,1664,6.4389934674716e-05,0.00101420857182998,"1.YOY"
"464",1991,"White Perch",0.000191169933761444,7.33620911357239e-10,1678,0.000138082476739376,0.000244257390783513,"1.YOY"
"465",1992,"White Perch",0.000775600605716958,9.46589437554119e-09,1680,0.000584906662884264,0.000966294548549653,"1.YOY"
"466",1993,"White Perch",0.000152889133925049,1.23956498133055e-09,1680,8.38825195154185e-05,0.00022189574833468,"1.YOY"
"467",1994,"White Perch",0.000280235716846498,1.42366879587304e-09,1681,0.000206281906625348,0.000354189527067648,"1.YOY"
"468",1995,"White Perch",0.000467094531563117,6.12661565854862e-09,1680,0.000313680038395488,0.000620509024730745,"1.YOY"
"469",1996,"White Perch",0.000140859495355807,3.89748925864323e-10,1667,0.000102165058112188,0.000179553932599426,"1.YOY"
"470",1997,"White Perch",0.000267401378513945,1.72268880833438e-09,2015,0.000186051016952994,0.000348751740074895,"1.YOY"
"471",1998,"White Perch",0.000184526083340895,3.23562462905486e-10,2130,0.000149269912852629,0.000219782253829162,"1.YOY"
"472",1999,"White Perch",0.000716666841669038,3.12978579222297e-09,2085,0.000607015644231874,0.000826318039106201,"1.YOY"
"473",2000,"White Perch",0.000324112271512701,9.78153793969418e-09,2110,0.00013026502198584,0.000517959521039562,"1.YOY"
"474",2001,"White Perch",0.000402645659153036,1.25129002004435e-09,2083,0.000333313446286272,0.000471977872019801,"1.YOY"
"475",2002,"White Perch",0.000507421909303125,2.81118999605197e-08,2128,0.00017879647679929,0.00083604734180696,"1.YOY"
"476",2003,"White Perch",0.00112039961532898,9.02143621175928e-09,2130,0.000934236382248189,0.00130656284840978,"1.YOY"
"477",2004,"White Perch",0.000233002963420186,2.54448726325764e-09,2126,0.000134134857994166,0.000331871068846206,"1.YOY"
"478",2005,"White Perch",0.000544864829455353,3.51099815190583e-09,2128,0.000428727623959606,0.000661002034951101,"1.YOY"
"479",2006,"White Perch",0.000375839700610459,1.26858555106566e-08,2129,0.000155081954359646,0.000596597446861272,"1.YOY"
"480",2007,"White Perch",9.47956777502898e-05,5.77846584709567e-10,2129,4.76803358771772e-05,0.000141911019623402,"1.YOY"
"481",2008,"White Perch",0.000464517727119979,1.10416558161328e-09,2103,0.000399388912465285,0.000529646541774674,"1.YOY"
"482",2009,"White Perch",0.000236358355349689,8.32230928309529e-10,2130,0.00017981546601607,0.000292901244683308,"1.YOY"
"483",2010,"White Perch",0.000739757932886074,2.4464130617121e-09,2129,0.000642813926274664,0.000836701939497485,"1.YOY"
"484",2011,"White Perch",0.000482638438345594,3.28457150823638e-09,2086,0.00037030852289098,0.000594968353800209,"1.YOY"
"485",2012,"White Perch",0.000983655341608279,2.95909372679761e-08,2080,0.000646495817630894,0.00132081486558566,"1.YOY"
"486",2013,"White Perch",9.83522860465395e-05,2.6767376736782e-10,2053,6.6285238400705e-05,0.000130419333692374,"1.YOY"
"487",2014,"White Perch",0.000597035000400426,4.91838974682378e-09,2126,0.000459577785051801,0.000734492215749051,"1.YOY"
"488",2015,"White Perch",0.000187743574058437,4.93412781355734e-10,2070,0.000144206296458016,0.000231280851658859,"1.YOY"
"489",2016,"White Perch",0.000164856399037255,2.78885945805678e-10,1935,0.000132124636948924,0.000197588161125586,"1.YOY"
"490",2017,"White Perch",0.000810553584300826,1.80136791785218e-08,2093,0.000547492089717887,0.00107361507888376,"1.YOY"
"491",2018,"White Perch",0.000300075685437488,4.37315386185184e-10,1950,0.000259087994753954,0.000341063376121021,"1.YOY"
"492",2023,"White Perch",0.000119830226189672,5.98779257839999e-10,1793,7.18690919566485e-05,0.000167791360422696,"1.YOY"
"493",2024,"White Perch",4.80038580367329e-05,1.24064528715984e-10,2025,2.6172543520302e-05,6.98351725531637e-05,"1.YOY"
"494",2025,"White Perch",5.22651773651894e-05,6.71698190592314e-11,2014,3.62015670332017e-05,6.83287876971772e-05,"1.YOY"
"4581",1985,"White Perch",0.00068118554608765,9.2899710800262e-09,1801,0.000492271933817309,0.00087009915835799,"2.YEARLING"
"4591",1986,"White Perch",0.00144404082712479,2.69103337592058e-08,2098,0.00112251518558221,0.00176556646866736,"2.YEARLING"
"4601",1987,"White Perch",0.000802954222475985,8.14499396485951e-09,1891,0.000626064966681846,0.000979843478270124,"2.YEARLING"
"4611",1988,"White Perch",0.000941335770206103,4.52785341836921e-09,1680,0.000809448690884408,0.0010732228495278,"2.YEARLING"
"4621",1989,"White Perch",0.000746755941664376,6.69762566572769e-09,1679,0.000586351456822276,0.000907160426506476,"2.YEARLING"
"4631",1990,"White Perch",0.000396250303297247,3.35483994353181e-09,1664,0.00028272518216949,0.000509775424425003,"2.YEARLING"
"4641",1991,"White Perch",0.000321156521406816,1.42307286966406e-09,1678,0.000247218190778505,0.000395094852035127,"2.YEARLING"
"4651",1992,"White Perch",0.000209144677964014,6.09611279470164e-10,1680,0.000160751675461456,0.000257537680466572,"2.YEARLING"
"4661",1993,"White Perch",0.000156526242663558,6.12389651567008e-10,1680,0.000108023087245999,0.000205029398081116,"2.YEARLING"
"4671",1994,"White Perch",0.000171790600310608,2.29853840853715e-10,1681,0.000142075174770602,0.000201506025850614,"2.YEARLING"
"4681",1995,"White Perch",0.000307421017139049,3.17631913961239e-10,1680,0.000272489444591088,0.00034235258968701,"2.YEARLING"
"4691",1996,"White Perch",0.000247023448148658,6.94571666096535e-10,1667,0.000195368182081427,0.000298678714215889,"2.YEARLING"
