"","YEAR","AI","LCI","UCI","SPECIES","LIFE.STAGE","AIC","DEV.EXP","RMSE","NA.fit"
"1","1985",0.000275021673381342,0.000210262215968355,0.000359726641713208,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"2","1986",0.000125607315480807,9.42899011840307e-05,0.000167326484641252,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"3","1987",0.000163321230049972,0.00012483023956093,0.000213680789837917,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"4","1988",8.57774421962747e-05,6.40870172341716e-05,0.000114809050370533,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"5","1989",9.75938692679917e-05,7.3419361053447e-05,0.000129728224027505,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"6","1990",0.000155000046852217,0.000118348666799267,0.000203001987043409,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"7","1991",0.000216584800086395,0.000167095290857678,0.000280731882913551,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"8","1992",0.000147451736264718,0.000112706581030021,0.000192908118840804,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"9","1993",0.000129441690862573,9.8226910910782e-05,0.000170575977377324,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"10","1994",0.000130822753230301,9.92086975133086e-05,0.000172511011551787,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"11","1995",0.000104636622944732,7.933912718383e-05,0.00013800029380093,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"12","1996",0.000249427582760315,0.000193167602348984,0.000322073258067651,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"13","1997",0.000210138488243937,0.000163410056650386,0.000270229294001918,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"14","1998",1.8753479722516e-05,1.31533366745101e-05,2.67379304891029e-05,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"15","1999",0.000873058739991564,0.000696195585430143,0.00109485262392854,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"16","2000",0.000171065073861834,0.000132542186361624,0.00022078449359145,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"17","2001",0.000422783248826359,0.000333330453114299,0.000536241659944822,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"18","2002",7.03593678067939e-05,5.30703824718425e-05,9.32806663075823e-05,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"19","2003",0.000261439048377427,0.000204642667431427,0.000333998656655499,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"20","2004",5.19623575177245e-05,3.86716514206339e-05,6.98208248060268e-05,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"21","2005",0.000545944405080865,0.000433596912106893,0.000687401789811688,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"22","2006",5.97768387999611e-05,4.49063803228873e-05,7.95715537797499e-05,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"23","2007",0.000280470617435877,0.000220506745261829,0.000356740865915268,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"24","2008",0.00029304070449926,0.000229691662254335,0.000373861435154476,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"25","2009",2.73830035004222e-05,1.97123724305834e-05,3.80384899557188e-05,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"26","2010",0.000482869305579369,0.000382637510170314,0.000609356793501296,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"27","2011",0.000151822991783698,0.000117320576399559,0.000196472106952925,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"28","2012",0.000209863981268796,0.000163697200035359,0.000269050971088547,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"29","2013",8.01581193530405e-05,6.07517128486156e-05,0.000105763669811702,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"30","2014",0.000491106752065929,0.000389763161222142,0.000618801020518416,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"31","2015",0.000568704338591759,0.000452575800721668,0.000714630840220277,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
"32","2016",0.000178167526324064,0.000138323241773803,0.000229489036183417,"Alewife","YoY",-47683.5338160598,0.308627054637952,0.00242860566941519,FALSE
