"","YEAR","AI","LCI","UCI","SPECIES","LIFE.STAGE","AIC","DEV.EXP","RMSE","NA.fit"
"1","1985",0.000319290389720898,0.000239337578020084,0.000425952137610286,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"2","1986",0.000462091610795223,0.000347838853457966,0.000613872356824358,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"3","1987",0.000124731107481684,9.30879329821049e-05,0.000167130676073753,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"4","1988",0.000290328542998708,0.000218917705131532,0.000385033557834478,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"5","1989",0.000648938354548004,0.000493688207803579,0.000853010019982126,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"6","1990",0.000322085612567953,0.000243854012005937,0.000425414947943312,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"7","1991",0.00019991481708514,0.000150485371202319,0.00026558019408048,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"8","1992",0.000444568114081219,0.00033783878664548,0.000585015148853028,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"9","1993",0.000135070407957144,0.000100744516884112,0.000181091891350234,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"10","1994",0.000321780158433527,0.000243086563144353,0.000425948966582815,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"11","1995",0.000115524316400325,8.64991970902929e-05,0.000154288919766865,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"12","1996",0.000546116236396523,0.000415825434735821,0.000717231123308704,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"13","1997",0.000198602607700905,0.000150443858517964,0.000262177507105683,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"14","1998",6.06022970728791e-05,4.47843455124777e-05,8.2007191764949e-05,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"15","1999",0.000233665631577509,0.000177452246199496,0.000307686313077908,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"16","2000",0.000147582919482834,0.000111247511974361,0.000195786114552354,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"17","2001",0.000253836686319322,0.000192490564388026,0.000334733619418812,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"18","2002",8.83885956180262e-05,6.59085879876086e-05,0.00011853605233958,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"19","2003",9.19637232743928e-05,6.85748138668792e-05,0.000123329921316402,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"20","2004",5.93095837722859e-05,4.37827699501446e-05,8.03427177231437e-05,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"21","2005",5.44783836611109e-05,4.02433210741265e-05,7.37487415827451e-05,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"22","2006",1.2625062979842e-05,8.7447700495846e-06,1.82271476941292e-05,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"23","2007",1.11600430855988e-05,7.70185285596101e-06,1.61709869042781e-05,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"24","2008",1.2487213695864e-05,8.53028497369899e-06,1.82796361864752e-05,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"25","2009",1.45535418082893e-05,1.00996894835356e-05,2.09714941742425e-05,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"26","2010",1.43119902845935e-05,9.93335398564127e-06,2.06207355745488e-05,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"27","2011",3.03209212242817e-05,2.18756009365438e-05,4.20266518188894e-05,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"28","2012",2.31515716754539e-05,1.65459788143892e-05,3.23942921151059e-05,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"29","2013",1.81324339728136e-05,1.28483058183511e-05,2.55897677426733e-05,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"30","2014",6.42185625417688e-05,4.78901151354457e-05,8.61143006916407e-05,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"31","2015",4.38897883368379e-05,3.24334759995223e-05,5.93927558144186e-05,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"32","2016",2.16412077383292e-05,1.53647941851815e-05,3.04814933886461e-05,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"33","2017",3.21203112198539e-05,2.33543398943887e-05,4.41765597968436e-05,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
"34","2018",3.51330396011686e-05,2.56036148460484e-05,4.82092266673736e-05,"American Shad","YoY",-52657.4972862266,0.494705834656827,0.00257857094835701,FALSE
