"","YEAR","AI","LCI","UCI","SPECIES","LIFE.STAGE","AIC","DEV.EXP","RMSE","NA.fit"
"1","1985",0.00185204244313157,0.00144292091284763,0.00237716508272894,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"2","1986",0.00488895634119916,0.00384463097882217,0.00621695404261502,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"3","1987",0.00250506035542811,0.00197968554213961,0.00316986069290345,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"4","1988",0.00289717432393917,0.00228775051844463,0.0036689398584418,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"5","1989",0.00510833219164461,0.00407009458182823,0.00641141311474662,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"6","1990",0.000700915988178703,0.000544033151873659,0.000903039126921845,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"7","1991",0.000849186546519469,0.000659827071260437,0.00109288906472441,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"8","1992",0.00271691255427076,0.00215159424258121,0.00343076481683579,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"9","1993",0.00146312278602621,0.00114427692314736,0.00187081312546353,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"10","1994",0.00052615275791727,0.000403010927293079,0.000686921137655971,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"11","1995",0.000560192602918865,0.000433420233892688,0.00072404499796083,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"12","1996",0.00172736830744616,0.00136412669137905,0.00218733442313411,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"13","1997",0.00135082650232922,0.0010748495580413,0.00169766292012085,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"14","1998",0.000293928682925522,0.000228836497023342,0.00037753623993606,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"15","1999",0.000234116309982433,0.00018139856238175,0.000302154801450097,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"16","2000",0.00139956203271391,0.00111759513651328,0.001752668582225,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"17","2001",0.000685715347559127,0.000541345553394668,0.000868586681703711,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"18","2002",7.33664895625892e-05,5.45698634003381e-05,9.86376262525913e-05,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"19","2003",0.00020309263912879,0.000156777393870988,0.000263090354099385,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"20","2004",0.000904127565411198,0.000717828449057034,0.00113877717665023,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"21","2005",0.000201492373170264,0.000155725737641729,0.000260709482328411,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"22","2006",0.000144664910262942,0.000110908737760317,0.000188695108104217,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"23","2007",0.00012972181653989,9.9279959189041e-05,0.000169497951287095,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"24","2008",0.000123457214277181,9.36141833099975e-05,0.000162813830321094,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"25","2009",0.000392282470144909,0.000307293841849296,0.000500776505825524,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"26","2010",5.65229951275171e-05,4.17846759006135e-05,7.64598243093807e-05,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"27","2011",4.76205535898309e-05,3.50960371659524e-05,6.4614620547585e-05,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"28","2012",6.13944230603526e-05,4.31460793530197e-05,8.736078085041e-05,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"29","2013",0.000193174536838727,0.000149349992903791,0.000249858744264524,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"30","2014",0.00062797861180131,0.000498048248963067,0.000791805086557275,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"31","2015",0.00063740045322577,0.000505712696753243,0.000803379745813771,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"32","2016",8.15787508311116e-05,6.06997741099906e-05,0.000109639495117482,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"33","2017",6.75028155593122e-05,5.03003929642965e-05,9.05883600485753e-05,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"34","2018",0.000414413011513118,0.000324344949669451,0.00052949227138081,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"35","2023",0.000343807705697658,0.000265317166804703,0.000445518621808952,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"36","2024",0.000242466148063086,0.000190126840570043,0.000309213747939457,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"37","2025",0.000297482117763979,0.000234075904416262,0.000378063733685157,"Atlantic Tomcod","YoY",-53089.2867866149,0.589063232244369,0.0104637122909999,FALSE
"38","1985",0.00010966629154996,6.81466671435011e-05,0.000176482519343101,"Atlantic Tomcod","Yearling",-5745.35912558361,0.53232236962774,0.000593807135187599,FALSE
"39","1986",6.24926471359706e-05,3.77055825041125e-05,0.000103574343285506,"Atlantic Tomcod","Yearling",-5745.35912558361,0.53232236962774,0.000593807135187599,FALSE
"40","1987",0.000103157796252417,6.5154068458304e-05,0.000163328724966197,"Atlantic Tomcod","Yearling",-5745.35912558361,0.53232236962774,0.000593807135187599,FALSE
