"","YEAR","AI","LCI","UCI","SPECIES","LIFE.STAGE","AIC","DEV.EXP","RMSE","NA.fit"
"1","1985",0.01509391302321,0.0128233164276354,0.0177665591922261,"Bay Anchovy","YoY",-104616.792515541,0.558035812280777,0.165129914083927,FALSE
"2","1986",0.00936762829370408,0.00792363691816979,0.0110747704312118,"Bay Anchovy","YoY",-104616.792515541,0.558035812280777,0.165129914083927,FALSE
"3","1987",0.0174060434178666,0.0148554314430345,0.0203945842048712,"Bay Anchovy","YoY",-104616.792515541,0.558035812280777,0.165129914083927,FALSE
"4","1988",0.0327427901003626,0.0280909867547927,0.0381649214715995,"Bay Anchovy","YoY",-104616.792515541,0.558035812280777,0.165129914083927,FALSE
"5","1989",0.0238005361355959,0.0203877101025664,0.027784656417618,"Bay Anchovy","YoY",-104616.792515541,0.558035812280777,0.165129914083927,FALSE
"6","1990",0.00981079202449989,0.0083383776608913,0.0115432094901902,"Bay Anchovy","YoY",-104616.792515541,0.558035812280777,0.165129914083927,FALSE
"7","1991",0.0365545646563547,0.0314234564385039,0.0425235269656173,"Bay Anchovy","YoY",-104616.792515541,0.558035812280777,0.165129914083927,FALSE
"8","1992",0.0149218553038891,0.0127431568784569,0.0174730459519514,"Bay Anchovy","YoY",-104616.792515541,0.558035812280777,0.165129914083927,FALSE
"9","1993",0.0269748240814231,0.0231126371830069,0.0314823933098689,"Bay Anchovy","YoY",-104616.792515541,0.558035812280777,0.165129914083927,FALSE
"10","1994",0.0250331923156568,0.0214477783493161,0.0292179780724302,"Bay Anchovy","YoY",-104616.792515541,0.558035812280777,0.165129914083927,FALSE
"11","1995",0.0534668246536453,0.0461273315961158,0.0619741320303119,"Bay Anchovy","YoY",-104616.792515541,0.558035812280777,0.165129914083927,FALSE
"12","1996",0.0117276100958713,0.00999932387241989,0.0137546138434555,"Bay Anchovy","YoY",-104616.792515541,0.558035812280777,0.165129914083927,FALSE
"13","1997",0.0334277623100062,0.028925889997902,0.0386302821844138,"Bay Anchovy","YoY",-104616.792515541,0.558035812280777,0.165129914083927,FALSE
"14","1998",0.022198475812064,0.0191833817129307,0.0256874588512532,"Bay Anchovy","YoY",-104616.792515541,0.558035812280777,0.165129914083927,FALSE
"15","1999",0.0248742820126448,0.0214986175543074,0.0287799856935738,"Bay Anchovy","YoY",-104616.792515541,0.558035812280777,0.165129914083927,FALSE
"16","2000",0.00592831292151067,0.0050704062787405,0.00693137633619381,"Bay Anchovy","YoY",-104616.792515541,0.558035812280777,0.165129914083927,FALSE
"17","2001",0.010398910452618,0.00893258117988008,0.0121059452384422,"Bay Anchovy","YoY",-104616.792515541,0.558035812280777,0.165129914083927,FALSE
