"","YEAR","AI","LCI","UCI","SPECIES","LIFE.STAGE","AIC","DEV.EXP","RMSE","NA.fit"
"1","1985",0.000301075283533124,0.000241225042001288,0.000375774942777571,"Blueback Herring","YoY",-63558.3237905279,0.549618313590545,0.0297072957983177,FALSE
"2","1986",4.74952880636546e-05,3.73990610830303e-05,6.03170861226003e-05,"Blueback Herring","YoY",-63558.3237905279,0.549618313590545,0.0297072957983177,FALSE
"3","1987",0.000172538021501582,0.000138265805921479,0.000215305358148972,"Blueback Herring","YoY",-63558.3237905279,0.549618313590545,0.0297072957983177,FALSE
"4","1988",0.000238506135888141,0.000191765645515204,0.000296639039299573,"Blueback Herring","YoY",-63558.3237905279,0.549618313590545,0.0297072957983177,FALSE
"5","1989",0.000221230214772771,0.000177946128260191,0.000275042836879502,"Blueback Herring","YoY",-63558.3237905279,0.549618313590545,0.0297072957983177,FALSE
"6","1990",0.000189094467086062,0.00015174154170066,0.000235642244581243,"Blueback Herring","YoY",-63558.3237905279,0.549618313590545,0.0297072957983177,FALSE
"7","1991",0.000267740393751406,0.000215850178788353,0.000332104976000259,"Blueback Herring","YoY",-63558.3237905279,0.549618313590545,0.0297072957983177,FALSE
"8","1992",0.000264016729562917,0.000212757151055489,0.000327626277863247,"Blueback Herring","YoY",-63558.3237905279,0.549618313590545,0.0297072957983177,FALSE
"9","1993",0.000104968374641899,8.3928438174404e-05,0.000131282791800149,"Blueback Herring","YoY",-63558.3237905279,0.549618313590545,0.0297072957983177,FALSE
"10","1994",9.88656359711848e-05,7.89814451402051e-05,0.000123755825923869,"Blueback Herring","YoY",-63558.3237905279,0.549618313590545,0.0297072957983177,FALSE
"11","1995",7.35214952201878e-05,5.8629635463445e-05,9.21958701718743e-05,"Blueback Herring","YoY",-63558.3237905279,0.549618313590545,0.0297072957983177,FALSE
"12","1996",0.00027629170489763,0.000222508804947534,0.000343074541311922,"Blueback Herring","YoY",-63558.3237905279,0.549618313590545,0.0297072957983177,FALSE
"13","1997",0.000129142564143501,0.000103566364396281,0.000161034926452987,"Blueback Herring","YoY",-63558.3237905279,0.549618313590545,0.0297072957983177,FALSE
"14","1998",3.38381359792512e-06,2.48707850180469e-06,4.60387336274042e-06,"Blueback Herring","YoY",-63558.3237905279,0.549618313590545,0.0297072957983177,FALSE
"15","1999",0.000183170815540015,0.000147283174014164,0.000227802991687072,"Blueback Herring","YoY",-63558.3237905279,0.549618313590545,0.0297072957983177,FALSE
"16","2000",5.74596245335509e-05,4.55816949746759e-05,7.24327705095419e-05,"Blueback Herring","YoY",-63558.3237905279,0.549618313590545,0.0297072957983177,FALSE
"17","2001",9.15252927843955e-05,7.30937308763812e-05,0.000114604619559461,"Blueback Herring","YoY",-63558.3237905279,0.549618313590545,0.0297072957983177,FALSE
"18","2002",3.08042098556572e-05,2.42238683878396e-05,3.91720814214677e-05,"Blueback Herring","YoY",-63558.3237905279,0.549618313590545,0.0297072957983177,FALSE
"19","2003",0.00010777927462201,8.62722836854208e-05,0.000134647786540623,"Blueback Herring","YoY",-63558.3237905279,0.549618313590545,0.0297072957983177,FALSE
"20","2004",2.47757933701191e-05,1.93781756230185e-05,3.16768693328222e-05,"Blueback Herring","YoY",-63558.3237905279,0.549618313590545,0.0297072957983177,FALSE
"21","2005",0.000130943910242949,0.000105094733039865,0.000163150969927384,"Blueback Herring","YoY",-63558.3237905279,0.549618313590545,0.0297072957983177,FALSE
"22","2006",7.2048105256148e-06,5.45651246421618e-06,9.51327336837055e-06,"Blueback Herring","YoY",-63558.3237905279,0.549618313590545,0.0297072957983177,FALSE
