"","YEAR","AI","LCI","UCI","SPECIES","LIFE.STAGE","AIC","DEV.EXP","RMSE","NA.fit"
"1","1985",2.22044604925031e-16,2.22044604925031e-16,1.0831917411001e+263,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"2","1986",1.65286545455023e-07,5.9624673511992e-08,4.581935715415e-07,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"3","1987",2.17873254267141e-07,8.19327715137675e-08,5.79362250878793e-07,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"4","1988",2.28610639995084e-07,8.35332716491663e-08,6.25652793038708e-07,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"5","1989",5.71844598020726e-07,2.61708491642378e-07,1.24950567034843e-06,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"6","1990",2.22044604925031e-16,2.22044604925031e-16,3.34572202129598e+282,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"7","1991",1.89734704641108e-07,6.53374807372532e-08,5.50974077038798e-07,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"8","1992",2.26702033766157e-07,8.23456231009126e-08,6.24123179573612e-07,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"9","1993",4.10654816355642e-08,7.55860751748608e-09,2.23106409224133e-07,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"10","1994",2.51810873267092e-06,1.46352494449471e-06,4.33260233343187e-06,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"11","1995",1.99653848499586e-06,1.13355789289194e-06,3.51650846160142e-06,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"12","1996",1.51710123810814e-06,8.04833878639438e-07,2.85971580937928e-06,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"13","1997",4.67405729099189e-06,2.83453133286237e-06,7.70738051338213e-06,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"14","1998",8.1524488417332e-06,5.28576357990471e-06,1.25738544890188e-05,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"15","1999",1.9532625434148e-05,1.32948061589863e-05,2.8697180822967e-05,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"16","2000",2.04249069902079e-05,1.40060605318888e-05,2.97854507060583e-05,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"17","2001",3.27154329046764e-05,2.28271961558559e-05,4.68870352203031e-05,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"18","2002",4.87970440050667e-05,3.46959306299967e-05,6.86291291340597e-05,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"19","2003",0.000130936563443748,9.53438435682903e-05,0.000179816367841087,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"20","2004",7.44191702066014e-05,5.3535929587798e-05,0.000103448523951686,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"21","2005",0.000215355280546908,0.000158130820086344,0.000293288157451621,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"22","2006",0.000185385051914878,0.000136251785118341,0.00025223608955752,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"23","2007",9.806330938344e-05,7.12778617191647e-05,0.000134914437881442,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"24","2008",0.000149462696034258,0.000108765055717139,0.00020538855387456,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"25","2009",0.000132674048685556,9.65610588802509e-05,0.000182292980200712,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"26","2010",0.000136305323433907,9.94596223191685e-05,0.000186800842022112,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"27","2011",0.000159962606079524,0.000116859224558233,0.000218964616960999,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"28","2012",0.000205925641644685,0.000149615202753264,0.000283429551986823,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"29","2013",0.00030351420662818,0.000224781886892103,0.000409823384343028,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"30","2014",0.000160442615551292,0.000117857501498793,0.000218414887110121,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"31","2015",4.4043850024967e-05,3.14476508007486e-05,6.1685393841107e-05,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"32","2016",4.38304968391376e-05,3.1089975890234e-05,6.17920213237963e-05,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"33","2017",9.92330775351754e-05,7.2177245969419e-05,0.000136430859128019,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"34","2018",0.000109660548075027,7.99754906859014e-05,0.000150364014037056,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"35","2023",5.80323933577468e-05,4.20946375599856e-05,8.0004458383307e-05,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"36","2024",1.69237111485415e-05,1.15679644502625e-05,2.47590663224045e-05,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"37","2025",9.89301177925882e-05,7.2947984978559e-05,0.000134166395539672,"Channel Catfish","YoY",-26777.832319277,0.646067944311204,0.00169452274788357,FALSE
"38","1985",2.22044604925031e-16,2.22044604925031e-16,Inf,"Channel Catfish","Yearling",-6080.17412126019,0.527155061036136,0.000341786670213363,TRUE
"39","1986",2.22044604925031e-16,2.22044604925031e-16,Inf,"Channel Catfish","Yearling",-6080.17412126019,0.527155061036136,0.000341786670213363,TRUE
"40","1987",5.14613626377849e-07,1.39192473553394e-07,1.90259701328012e-06,"Channel Catfish","Yearling",-6080.17412126019,0.527155061036136,0.000341786670213363,FALSE
"41","1988",1.12418579146737e-06,4.00572148488975e-07,3.15497145396743e-06,"Channel Catfish","Yearling",-6080.17412126019,0.527155061036136,0.000341786670213363,FALSE
"42","1989",2.50936059942877e-06,1.14942171968465e-06,5.47831184162163e-06,"Channel Catfish","Yearling",-6080.17412126019,0.527155061036136,0.000341786670213363,FALSE
"43","1990",2.22044604925031e-16,2.22044604925031e-16,Inf,"Channel Catfish","Yearling",-6080.17412126019,0.527155061036136,0.000341786670213363,TRUE
"44","1991",2.22044604925031e-16,2.22044604925031e-16,Inf,"Channel Catfish","Yearling",-6080.17412126019,0.527155061036136,0.000341786670213363,TRUE
"45","1992",6.40370499587398e-07,1.86173745009624e-07,2.20264343245937e-06,"Channel Catfish","Yearling",-6080.17412126019,0.527155061036136,0.000341786670213363,FALSE
"46","1993",6.26919026289028e-06,3.54247208741391e-06,1.10947230020407e-05,"Channel Catfish","Yearling",-6080.17412126019,0.527155061036136,0.000341786670213363,FALSE
"47","1994",2.50233492056886e-05,1.67111452416025e-05,3.74700833735195e-05,"Channel Catfish","Yearling",-6080.17412126019,0.527155061036136,0.000341786670213363,FALSE
"48","1995",1.11404584532164e-05,6.87547042347002e-06,1.80511015106952e-05,"Channel Catfish","Yearling",-6080.17412126019,0.527155061036136,0.000341786670213363,FALSE
"49","1996",2.55894188378257e-05,1.69422423067968e-05,3.86500408033341e-05,"Channel Catfish","Yearling",-6080.17412126019,0.527155061036136,0.000341786670213363,FALSE
"50","1997",1.40981211721405e-06,4.70788883881519e-07,4.22178660943865e-06,"Channel Catfish","Yearling",-6080.17412126019,0.527155061036136,0.000341786670213363,FALSE
