"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage"
"40",1985,"American Shad",0.000581499654480755,4.76971071552818e-09,1801,0.000446135993608373,0.000716863315353136,"1.YOY"
"41",1986,"American Shad",0.00120145003378394,3.09063586608742e-08,2098,0.00085687802762033,0.00154602203994755,"1.YOY"
"42",1987,"American Shad",0.000529116923946436,7.68956084958525e-09,1891,0.000357244247351909,0.000700989600540962,"1.YOY"
"43",1988,"American Shad",0.000961447279215521,2.52948071356806e-08,1680,0.000649722190247003,0.00127317236818404,"1.YOY"
"44",1989,"American Shad",0.00215896626340685,7.79992378690078e-08,1679,0.001611570727987,0.00270636179882669,"1.YOY"
"45",1990,"American Shad",0.00139008413292254,4.8045352585271e-08,1663,0.000960466830557315,0.00181970143528777,"1.YOY"
"46",1991,"American Shad",0.000475393586195182,3.17790534660754e-09,1678,0.000364902676254465,0.000585884496135898,"1.YOY"
"47",1992,"American Shad",0.00167544872014228,5.06268341673594e-08,1680,0.0012344407313968,0.00211645670888775,"1.YOY"
"48",1993,"American Shad",0.000244906445109176,8.08653262807633e-10,1680,0.000189170259606383,0.00030064263061197,"1.YOY"
"49",1994,"American Shad",0.000505558808772325,2.72686031989024e-09,1681,0.00040320888642311,0.00060790873112154,"1.YOY"
"50",1995,"American Shad",0.000488526828431229,9.86665735952689e-09,1680,0.000293837971758952,0.000683215685103507,"1.YOY"
"51",1996,"American Shad",0.00215472152471359,6.88665050480451e-08,1667,0.0016403699272702,0.00266907312215699,"1.YOY"
"52",1997,"American Shad",0.000969144442151807,3.03704693479214e-08,2015,0.000627572787814134,0.00131071609648948,"1.YOY"
"53",1998,"American Shad",0.000282609371568471,1.09110089508589e-08,2130,7.78760523807541e-05,0.000487342690756188,"1.YOY"
"54",1999,"American Shad",0.000527648733055403,4.22143506937238e-09,2085,0.00040030249258282,0.000654994973527986,"1.YOY"
"55",2000,"American Shad",0.000479743564894885,1.61742576596252e-08,2110,0.00023047457720244,0.00072901255258733,"1.YOY"
"56",2001,"American Shad",0.000629507056825092,9.36549119673584e-09,2083,0.000439827139645174,0.000819186974005009,"1.YOY"
"57",2002,"American Shad",0.00044633179863389,1.80776014624268e-08,2128,0.00018280397509706,0.000709859622170721,"1.YOY"
"58",2003,"American Shad",0.00057376581619036,4.42908067667668e-08,2130,0.000161276345688128,0.000986255286692591,"1.YOY"
