"","YEAR","AI","LCI","UCI","SPECIES","LIFE.STAGE","AIC","DEV.EXP","RMSE","NA.fit"
"1","1985",0.00290607058389473,0.00217514605850052,0.00388261110355052,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"2","1986",0.00487609174521165,0.0036972753956273,0.00643075458642896,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"3","1987",0.0086236461228377,0.00665743885576573,0.0111705528301664,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"4","1988",0.0159639253319178,0.012498827533276,0.0203896654565847,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"5","1989",0.00479467921123485,0.00364425903930183,0.00630826417406703,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"6","1990",0.00396281790132978,0.00297142939342391,0.00528497353962177,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"7","1991",0.0120166258910399,0.00934684735536117,0.015448984274081,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"8","1992",0.00268042984980382,0.00198619380271747,0.00361732282614587,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"9","1993",0.00352534830264072,0.00264901862496521,0.00469157919004628,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"10","1994",0.0134317847969914,0.0104766602496013,0.0172204537070442,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"11","1995",0.00631729824871457,0.00483763947775851,0.00824953106710289,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"12","1996",0.000473378438205595,0.000310000978200027,0.000722859479538084,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"13","1997",0.000303089400823643,0.000208350017112921,0.000440907978624485,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"14","1998",0.000898045312130486,0.000667171162380835,0.00120881331225642,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"15","1999",0.000235432599836339,0.000160089982668375,0.000346233462842691,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"16","2000",0.00134603635191902,0.00101604432092935,0.00178320357032283,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"17","2001",0.00177073811006867,0.00135540518141178,0.00231334031878469,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"18","2002",0.00155960259463176,0.00118664462171143,0.00204977986557936,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"19","2003",0.000820466581926238,0.000607241531360498,0.0011085628655035,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"20","2004",0.000671081255552232,0.000490479601565582,0.000918183039857457,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"21","2005",0.00160489291520169,0.00122270060666178,0.00210655106837374,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"22","2006",0.00124440453136182,0.000939453176537481,0.00164834467150482,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"23","2007",0.00448937930123115,0.00353702658374486,0.00569815522533728,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"24","2008",0.00182301902518118,0.00139354210989684,0.00238485679232082,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"25","2009",0.000655394568961591,0.000479442842088744,0.000895919186431074,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"26","2010",0.00555774240911275,0.00440256910186597,0.00701601723251971,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"27","2011",0.0028472709698065,0.00221249071689688,0.00366417445894337,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"28","2012",0.013554626823043,0.0108566083819377,0.0169231404365316,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
"29","2013",0.000902541412885762,0.000671095392706403,0.00121380806786465,"Hogchoker","YoY",-22577.3013935431,0.501810456413933,0.00507971081171875,FALSE
