"","YEAR","AI","LCI","UCI","SPECIES","LIFE.STAGE","AIC","DEV.EXP","RMSE","NA.fit"
"1","1985",1.65607090644649e-05,1.00144223624427e-05,2.73862110855639e-05,"Spottail Shiner","YoY",-3262.81781777601,0.459001938970348,0.000359252629002594,FALSE
"2","1986",2.04887192199843e-05,1.28104140765775e-05,3.27692463932835e-05,"Spottail Shiner","YoY",-3262.81781777601,0.459001938970348,0.000359252629002594,FALSE
"3","1987",1.00011700306379e-05,5.81785902335315e-06,1.7192476060391e-05,"Spottail Shiner","YoY",-3262.81781777601,0.459001938970348,0.000359252629002594,FALSE
"4","1988",2.10163936903143e-05,1.28860939169084e-05,3.42763917905893e-05,"Spottail Shiner","YoY",-3262.81781777601,0.459001938970348,0.000359252629002594,FALSE
"5","1989",2.07828815718792e-06,8.99972951561539e-07,4.79934608791651e-06,"Spottail Shiner","YoY",-3262.81781777601,0.459001938970348,0.000359252629002594,FALSE
"6","1990",5.89954621206195e-06,3.04441854194697e-06,1.1432280098385e-05,"Spottail Shiner","YoY",-3262.81781777601,0.459001938970348,0.000359252629002594,FALSE
"7","1991",2.63192908605477e-05,1.65628064906885e-05,4.18229284868808e-05,"Spottail Shiner","YoY",-3262.81781777601,0.459001938970348,0.000359252629002594,FALSE
"8","1992",6.82915267553965e-06,3.75975344109401e-06,1.24043576251798e-05,"Spottail Shiner","YoY",-3262.81781777601,0.459001938970348,0.000359252629002594,FALSE
"9","1993",1.66225626784969e-05,1.00673747182676e-05,2.74460420648874e-05,"Spottail Shiner","YoY",-3262.81781777601,0.459001938970348,0.000359252629002594,FALSE
"10","1994",1.10381916844911e-05,6.37818296229321e-06,1.9102881868375e-05,"Spottail Shiner","YoY",-3262.81781777601,0.459001938970348,0.000359252629002594,FALSE
"11","1995",3.46474216246591e-06,1.71526582113774e-06,6.99858768503087e-06,"Spottail Shiner","YoY",-3262.81781777601,0.459001938970348,0.000359252629002594,FALSE
"12","1996",2.29952986623918e-05,1.41395025653231e-05,3.73976211772421e-05,"Spottail Shiner","YoY",-3262.81781777601,0.459001938970348,0.000359252629002594,FALSE
"13","1997",3.70466532363737e-06,1.80331192614996e-06,7.61074385475997e-06,"Spottail Shiner","YoY",-3262.81781777601,0.459001938970348,0.000359252629002594,FALSE
"14","1998",1.94730586986299e-06,8.66871611364881e-07,4.37435036640825e-06,"Spottail Shiner","YoY",-3262.81781777601,0.459001938970348,0.000359252629002594,FALSE
"15","1999",2.20665486277485e-05,1.37038572307762e-05,3.55325190667658e-05,"Spottail Shiner","YoY",-3262.81781777601,0.459001938970348,0.000359252629002594,FALSE
