"","YEAR","AI","LCI","UCI","SPECIES","LIFE.STAGE","AIC","DEV.EXP","RMSE","NA.fit"
"1","1985",0.000198097670730448,0.000153251726540079,0.000256066851805197,"Striped Bass","YoY",-90378.6669991549,0.371586770628743,0.0109581089616938,FALSE
"2","1986",0.000711180206118802,0.000566446939162914,0.000892894374753989,"Striped Bass","YoY",-90378.6669991549,0.371586770628743,0.0109581089616938,FALSE
"3","1987",0.00317124967203742,0.0026000064392617,0.00386799983666703,"Striped Bass","YoY",-90378.6669991549,0.371586770628743,0.0109581089616938,FALSE
"4","1988",0.00582326900622082,0.00479811541638943,0.00706745440157202,"Striped Bass","YoY",-90378.6669991549,0.371586770628743,0.0109581089616938,FALSE
"5","1989",0.0025128765047099,0.00205648866740951,0.00307054856561757,"Striped Bass","YoY",-90378.6669991549,0.371586770628743,0.0109581089616938,FALSE
"6","1990",0.0016748958301923,0.00136801581473751,0.00205061667546132,"Striped Bass","YoY",-90378.6669991549,0.371586770628743,0.0109581089616938,FALSE
"7","1991",0.00131194745974643,0.00106565705171039,0.00161515952470128,"Striped Bass","YoY",-90378.6669991549,0.371586770628743,0.0109581089616938,FALSE
"8","1992",0.000963637357255424,0.000780049673502926,0.00119043310681513,"Striped Bass","YoY",-90378.6669991549,0.371586770628743,0.0109581089616938,FALSE
"9","1993",0.00213621446913815,0.00174265738025499,0.00261865143995628,"Striped Bass","YoY",-90378.6669991549,0.371586770628743,0.0109581089616938,FALSE
"10","1994",0.00255202218022138,0.0020878085130497,0.00311945140928107,"Striped Bass","YoY",-90378.6669991549,0.371586770628743,0.0109581089616938,FALSE
"11","1995",0.00258233210302226,0.00212380192554303,0.0031398592355049,"Striped Bass","YoY",-90378.6669991549,0.371586770628743,0.0109581089616938,FALSE
"12","1996",0.00170165956684162,0.0013900208357104,0.00208316681810293,"Striped Bass","YoY",-90378.6669991549,0.371586770628743,0.0109581089616938,FALSE
"13","1997",0.00159778860622674,0.00130890129617799,0.0019504361693602,"Striped Bass","YoY",-90378.6669991549,0.371586770628743,0.0109581089616938,FALSE
"14","1998",0.000412043763483016,0.000330651902180374,0.000513470698053421,"Striped Bass","YoY",-90378.6669991549,0.371586770628743,0.0109581089616938,FALSE
"15","1999",0.00171854873613764,0.00141342756264429,0.00208953740293202,"Striped Bass","YoY",-90378.6669991549,0.371586770628743,0.0109581089616938,FALSE
"16","2000",0.000963739870211478,0.000785369681220886,0.00118262082130722,"Striped Bass","YoY",-90378.6669991549,0.371586770628743,0.0109581089616938,FALSE
"17","2001",0.000970156697065475,0.000788866456173283,0.00119310944139606,"Striped Bass","YoY",-90378.6669991549,0.371586770628743,0.0109581089616938,FALSE
"18","2002",0.000763840872593953,0.000619894708555226,0.000941212871464787,"Striped Bass","YoY",-90378.6669991549,0.371586770628743,0.0109581089616938,FALSE
"19","2003",0.00400989052103624,0.00332418416303594,0.00483704307646161,"Striped Bass","YoY",-90378.6669991549,0.371586770628743,0.0109581089616938,FALSE
