"","YEAR","AI","LCI","UCI","SPECIES","LIFE.STAGE","AIC","DEV.EXP","RMSE","NA.fit"
"1","1985",1.76023966286392e-06,9.49741727537473e-07,3.26240659000323e-06,"Tessellated Darter","YoY",-5405.47184863879,0.468185256703764,0.000444001554153144,FALSE
"2","1986",7.17309012906579e-06,4.14697896975468e-06,1.24073988257396e-05,"Tessellated Darter","YoY",-5405.47184863879,0.468185256703764,0.000444001554153144,FALSE
"3","1987",1.97823568465003e-06,1.10340937996272e-06,3.54665865189126e-06,"Tessellated Darter","YoY",-5405.47184863879,0.468185256703764,0.000444001554153144,FALSE
"4","1988",7.55319228445996e-06,4.52397580713203e-06,1.26107468559149e-05,"Tessellated Darter","YoY",-5405.47184863879,0.468185256703764,0.000444001554153144,FALSE
"5","1989",4.79885174167128e-06,2.8008585769874e-06,8.22211382886435e-06,"Tessellated Darter","YoY",-5405.47184863879,0.468185256703764,0.000444001554153144,FALSE
"6","1990",3.0286037680127e-07,1.11862269596791e-07,8.1997628125041e-07,"Tessellated Darter","YoY",-5405.47184863879,0.468185256703764,0.000444001554153144,FALSE
"7","1991",4.26993686107486e-06,2.46760721452134e-06,7.38868029331098e-06,"Tessellated Darter","YoY",-5405.47184863879,0.468185256703764,0.000444001554153144,FALSE
"8","1992",5.96151259705626e-06,3.53121492128016e-06,1.00644206702594e-05,"Tessellated Darter","YoY",-5405.47184863879,0.468185256703764,0.000444001554153144,FALSE
"9","1993",5.95969984147261e-06,3.51404764073676e-06,1.0107439008141e-05,"Tessellated Darter","YoY",-5405.47184863879,0.468185256703764,0.000444001554153144,FALSE
"10","1994",1.45134452452994e-05,8.86509236935751e-06,2.37606202070029e-05,"Tessellated Darter","YoY",-5405.47184863879,0.468185256703764,0.000444001554153144,FALSE
"11","1995",5.80513068165916e-06,3.45338259757413e-06,9.75841548944305e-06,"Tessellated Darter","YoY",-5405.47184863879,0.468185256703764,0.000444001554153144,FALSE
"12","1996",5.17902661551715e-06,3.02424925969314e-06,8.86908266514929e-06,"Tessellated Darter","YoY",-5405.47184863879,0.468185256703764,0.000444001554153144,FALSE
"13","1997",3.49185863344074e-06,2.00091880766525e-06,6.093738870975e-06,"Tessellated Darter","YoY",-5405.47184863879,0.468185256703764,0.000444001554153144,FALSE
"14","1998",2.72620283099821e-06,1.5606049970519e-06,4.76237221448259e-06,"Tessellated Darter","YoY",-5405.47184863879,0.468185256703764,0.000444001554153144,FALSE
"15","1999",4.58126555814878e-06,2.72588584465124e-06,7.69951322630152e-06,"Tessellated Darter","YoY",-5405.47184863879,0.468185256703764,0.000444001554153144,FALSE
"16","2000",1.35436938283839e-06,7.10867105047846e-07,2.58039289220815e-06,"Tessellated Darter","YoY",-5405.47184863879,0.468185256703764,0.000444001554153144,FALSE
