"","YEAR","AI","LCI","UCI","SPECIES","LIFE.STAGE","AIC","DEV.EXP","RMSE","NA.fit"
"1","1985",0.00341260561220376,0.00254524983145172,0.00457553396941086,"Weakfish","YoY",-43784.6048554264,0.540112397855702,0.00628738652768859,FALSE
"2","1986",0.00195674806679199,0.00144746073282241,0.00264522754232391,"Weakfish","YoY",-43784.6048554264,0.540112397855702,0.00628738652768859,FALSE
"3","1987",0.000693736612147477,0.000504829056832332,0.000953333570087472,"Weakfish","YoY",-43784.6048554264,0.540112397855702,0.00628738652768859,FALSE
"4","1988",0.00427850571590255,0.00322774147739001,0.00567133746281715,"Weakfish","YoY",-43784.6048554264,0.540112397855702,0.00628738652768859,FALSE
"5","1989",0.00346703649252101,0.00261316221547747,0.00459992187598508,"Weakfish","YoY",-43784.6048554264,0.540112397855702,0.00628738652768859,FALSE
"6","1990",0.000985037807969156,0.000724813509004471,0.00133868846410076,"Weakfish","YoY",-43784.6048554264,0.540112397855702,0.00628738652768859,FALSE
"7","1991",0.00540404462522519,0.00410356810147409,0.00711665984072123,"Weakfish","YoY",-43784.6048554264,0.540112397855702,0.00628738652768859,FALSE
"8","1992",0.000714766741691023,0.000520450192343453,0.000981633790405935,"Weakfish","YoY",-43784.6048554264,0.540112397855702,0.00628738652768859,FALSE
"9","1993",0.00240090637806076,0.00179493021502747,0.00321146270086305,"Weakfish","YoY",-43784.6048554264,0.540112397855702,0.00628738652768859,FALSE
"10","1994",0.00219422417253809,0.00164113624991454,0.00293371115262441,"Weakfish","YoY",-43784.6048554264,0.540112397855702,0.00628738652768859,FALSE
"11","1995",0.00364240983624971,0.00275988338806929,0.00480714129899882,"Weakfish","YoY",-43784.6048554264,0.540112397855702,0.00628738652768859,FALSE
"12","1996",0.00166765051466823,0.00124768621240487,0.00222897248636965,"Weakfish","YoY",-43784.6048554264,0.540112397855702,0.00628738652768859,FALSE
"13","1997",0.00234879172709023,0.00177650655171378,0.00310543328530113,"Weakfish","YoY",-43784.6048554264,0.540112397855702,0.00628738652768859,FALSE
"14","1998",0.00315264530499148,0.00239982351001737,0.00414162640610719,"Weakfish","YoY",-43784.6048554264,0.540112397855702,0.00628738652768859,FALSE
"15","1999",0.0045824379401926,0.00350493408701495,0.00599119325910081,"Weakfish","YoY",-43784.6048554264,0.540112397855702,0.00628738652768859,FALSE
"16","2000",0.00389985223661286,0.00297752146823301,0.00510788843327463,"Weakfish","YoY",-43784.6048554264,0.540112397855702,0.00628738652768859,FALSE
"17","2001",0.00291019806771263,0.00221049964817254,0.00383137486600371,"Weakfish","YoY",-43784.6048554264,0.540112397855702,0.00628738652768859,FALSE
"18","2002",0.00259601339177577,0.00196647782163912,0.00342708443294912,"Weakfish","YoY",-43784.6048554264,0.540112397855702,0.00628738652768859,FALSE
"19","2003",0.00135035108380196,0.00101382773039936,0.00179857780059621,"Weakfish","YoY",-43784.6048554264,0.540112397855702,0.00628738652768859,FALSE
"20","2004",0.000811564731721754,0.000602923392193959,0.00109240630286032,"Weakfish","YoY",-43784.6048554264,0.540112397855702,0.00628738652768859,FALSE
"21","2005",0.00226280432367812,0.00171799996369511,0.00298037457244387,"Weakfish","YoY",-43784.6048554264,0.540112397855702,0.00628738652768859,FALSE
"22","2006",0.000381307963720448,0.000277960323019259,0.000523080998098282,"Weakfish","YoY",-43784.6048554264,0.540112397855702,0.00628738652768859,FALSE
"23","2007",0.00157687951327406,0.00119048214601554,0.00208869071048715,"Weakfish","YoY",-43784.6048554264,0.540112397855702,0.00628738652768859,FALSE
"24","2008",0.00066765596570706,0.000492335041192864,0.000905408819701716,"Weakfish","YoY",-43784.6048554264,0.540112397855702,0.00628738652768859,FALSE
