"","YEAR","AI","LCI","UCI","SPECIES","LIFE.STAGE","AIC","DEV.EXP","RMSE","NA.fit"
"1","1985",8.32952349805463e-05,5.78860392028355e-05,0.00011985784942295,"White Catfish","YoY",-20736.2681737693,0.453099515056331,0.000609042399753119,FALSE
"2","1986",9.24628019691642e-05,6.46284396332181e-05,0.000132284947563466,"White Catfish","YoY",-20736.2681737693,0.453099515056331,0.000609042399753119,FALSE
"3","1987",0.000219005778156762,0.000160415868318987,0.000298994927176863,"White Catfish","YoY",-20736.2681737693,0.453099515056331,0.000609042399753119,FALSE
"4","1988",0.000249841351706003,0.000183574732463291,0.000340028827413733,"White Catfish","YoY",-20736.2681737693,0.453099515056331,0.000609042399753119,FALSE
"5","1989",0.000314941061455578,0.000233096738528908,0.000425522351006492,"White Catfish","YoY",-20736.2681737693,0.453099515056331,0.000609042399753119,FALSE
"6","1990",0.000153782754469784,0.000110255681324145,0.000214493577911753,"White Catfish","YoY",-20736.2681737693,0.453099515056331,0.000609042399753119,FALSE
"7","1991",0.000101737691267241,7.22183261216466e-05,0.000143323147741663,"White Catfish","YoY",-20736.2681737693,0.453099515056331,0.000609042399753119,FALSE
"8","1992",3.29727254279834e-05,2.13448740742106e-05,5.09349747564342e-05,"White Catfish","YoY",-20736.2681737693,0.453099515056331,0.000609042399753119,FALSE
"9","1993",0.000464363096812769,0.000347408541365309,0.000620690224926857,"White Catfish","YoY",-20736.2681737693,0.453099515056331,0.000609042399753119,FALSE
"10","1994",0.000584146373875338,0.000438363554846131,0.000778410938453768,"White Catfish","YoY",-20736.2681737693,0.453099515056331,0.000609042399753119,FALSE
"11","1995",0.000247982223069328,0.000183422478101537,0.000335265249902275,"White Catfish","YoY",-20736.2681737693,0.453099515056331,0.000609042399753119,FALSE
"12","1996",0.000421445733057883,0.000314477127876346,0.000564799440621119,"White Catfish","YoY",-20736.2681737693,0.453099515056331,0.000609042399753119,FALSE
"13","1997",2.78112925558459e-05,1.74972055328379e-05,4.42052299251581e-05,"White Catfish","YoY",-20736.2681737693,0.453099515056331,0.000609042399753119,FALSE
"14","1998",0.000530521796317601,0.000403740570122173,0.000697114427422752,"White Catfish","YoY",-20736.2681737693,0.453099515056331,0.000609042399753119,FALSE
"15","1999",6.74486337405047e-05,4.66079470964885e-05,9.76082079745472e-05,"White Catfish","YoY",-20736.2681737693,0.453099515056331,0.000609042399753119,FALSE
"16","2000",0.000117520029303762,8.45582129030057e-05,0.000163330761299309,"White Catfish","YoY",-20736.2681737693,0.453099515056331,0.000609042399753119,FALSE
"17","2001",0.000166810216961173,0.000121835356548734,0.000228387302921408,"White Catfish","YoY",-20736.2681737693,0.453099515056331,0.000609042399753119,FALSE
