"","YEAR","AI","LCI","UCI","SPECIES","LIFE.STAGE","AIC","DEV.EXP","RMSE","NA.fit"
"1","1985",0.00150754064255829,0.00121762263002008,0.00186648862540242,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"2","1986",0.00240992482288061,0.00195525622379031,0.00297032050391724,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"3","1987",0.00209620351109867,0.00171289370821769,0.00256529003455475,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"4","1988",0.00376056628773137,0.00310068383821837,0.00456088383798187,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"5","1989",0.00333689123596824,0.00275025213241674,0.00404866266239272,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"6","1990",0.000980221429371437,0.000783583815889385,0.00122620456307972,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"7","1991",0.00051582886827635,0.000405084538850085,0.0006568491162427,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"8","1992",0.00153397074314257,0.00124647353878122,0.00188777873545407,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"9","1993",0.000326497211114239,0.000251388096627906,0.000424047241278737,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"10","1994",0.0011688489646292,0.00094075780877921,0.00145224189410411,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"11","1995",0.00145958225151892,0.0011862739618995,0.00179585864426948,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"12","1996",0.000472076973952752,0.000367974596339092,0.000605630583071616,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"13","1997",0.000594199243376771,0.000480872455597002,0.000734233655348771,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"14","1998",0.000398575774715237,0.000321628384671405,0.000493932301255547,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"15","1999",0.00183496915131461,0.00153232001853356,0.00219739463398684,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"16","2000",0.000585562049395594,0.00047698078416037,0.000718861063336011,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"17","2001",0.000846982940599345,0.000696847807098247,0.00102946453208135,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"18","2002",0.000666377880024742,0.000546312336066621,0.000812830774028353,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"19","2003",0.00340339384405733,0.00286958159702967,0.00403650820375943,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"20","2004",0.000453968483776704,0.000367385086467725,0.000560957403698598,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"21","2005",0.0016470047748528,0.00137492631691775,0.0019729237087184,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"22","2006",0.00073603819761412,0.00060466065733082,0.000895960770357581,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"23","2007",0.000144447055641318,0.000112105406810354,0.000186119050606924,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"24","2008",0.00125808371982966,0.00104392019478128,0.00151618356844995,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"25","2009",0.000491719982413047,0.000399253501024493,0.00060560155511186,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"26","2010",0.00213476765773965,0.00178954378275434,0.00254658924606866,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"27","2011",0.00109583996016036,0.000906575375748128,0.00132461707036029,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"28","2012",0.00158840323051541,0.00131804032957511,0.00191422429655481,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"29","2013",0.000300803082909387,0.000239886933214206,0.000377188092220912,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"30","2014",0.00123956857072879,0.00102886341934299,0.00149342489260606,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"31","2015",0.000398424743137439,0.000321155813114691,0.000494284298965637,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"32","2016",0.000322766501192594,0.000258452006752967,0.00040308533720028,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"33","2017",0.00132748400513232,0.0011045034949523,0.0015954804959293,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"34","2018",0.000912059364513544,0.000752131146393578,0.00110599366664382,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"35","2023",0.000247156971148715,0.000195013185994862,0.000313243271606341,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"36","2024",0.000120253352147301,9.18336537288816e-05,0.000157468075324056,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"37","2025",0.000213838054137886,0.000167811734847793,0.000272488175150278,"White Perch","YoY",-59994.1107517624,0.402534163954653,0.0043230899280912,FALSE
"38","1985",0.00122275961154913,0.00101874666130738,0.00146762794365091,"White Perch","Yearling",-68135.1930123996,0.376564109093377,0.0028877497096506,FALSE
