"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage"
"78",1985,"Atlantic Tomcod",0.00151501493555123,4.53068889947771e-08,1801,0.00109782080236821,0.00193220906873426,"1.YOY"
"79",1986,"Atlantic Tomcod",0.00286434485771083,6.74847149667734e-08,2098,0.00235517957902781,0.00337351013639385,"1.YOY"
"80",1987,"Atlantic Tomcod",0.00269222827518352,9.03058275007526e-08,1891,0.00210323008594446,0.00328122646442257,"1.YOY"
"81",1988,"Atlantic Tomcod",0.00238550094408454,8.2589662070133e-08,1680,0.00182222796780339,0.00294877392036568,"1.YOY"
"82",1989,"Atlantic Tomcod",0.00502916988427925,4.41716297682202e-07,1679,0.00372651976656692,0.00633182000199158,"1.YOY"
"83",1990,"Atlantic Tomcod",0.000870717261070396,3.97174086650038e-08,1663,0.000480104412936238,0.00126133010920455,"1.YOY"
"84",1991,"Atlantic Tomcod",0.00231348511424481,5.41851663818779e-07,1678,0.000870717859374429,0.00375625236911519,"1.YOY"
"85",1992,"Atlantic Tomcod",0.00248091313297009,1.32091257765289e-07,1680,0.00176856365705877,0.00319326260888141,"1.YOY"
"86",1993,"Atlantic Tomcod",0.00141351903533147,1.26303835020649e-07,1680,0.000716949718884558,0.00211008835177839,"1.YOY"
"87",1994,"Atlantic Tomcod",0.000482610717931881,9.81532815192362e-09,1681,0.000288428935499981,0.000676792500363781,"1.YOY"
"88",1995,"Atlantic Tomcod",0.00169750650426612,3.6055557250251e-07,1680,0.000520599419010171,0.00287441358952206,"1.YOY"
"89",1996,"Atlantic Tomcod",0.00145772472513882,2.09556143514077e-08,1667,0.00117399406396106,0.00174145538631658,"1.YOY"
"90",1997,"Atlantic Tomcod",0.00147352856928004,1.40874451232503e-08,2015,0.00124089510396286,0.00170616203459722,"1.YOY"
"91",1998,"Atlantic Tomcod",0.000386982923230731,2.35777538882192e-09,2130,0.000291811341686142,0.00048215450477532,"1.YOY"
"92",1999,"Atlantic Tomcod",0.000433326844316487,1.31066895959322e-08,2085,0.000208937319713102,0.000657716368919872,"1.YOY"
"93",2000,"Atlantic Tomcod",0.00112373839307184,1.38604246647852e-08,2110,0.000892986995693107,0.00135448979045058,"1.YOY"
"94",2001,"Atlantic Tomcod",0.000932646964800229,2.48470594479065e-08,2083,0.000623693143695719,0.00124160078590474,"1.YOY"
"95",2002,"Atlantic Tomcod",9.30414875256799e-05,1.50406170815941e-10,2128,6.90040095837967e-05,0.000117078965467563,"1.YOY"
"96",2003,"Atlantic Tomcod",0.000314706707627123,1.78082722911927e-09,2130,0.00023199500420261,0.000397418411051636,"1.YOY"
"97",2004,"Atlantic Tomcod",0.000966138123847072,1.6542238483103e-08,2126,0.000714049521651954,0.00121822672604219,"1.YOY"
