"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage"
"116",1985,"Bay Anchovy",0.0614049376330794,3.86040959958359e-05,1801,0.0492270275013037,0.073582847764855,"1.YOY"
"117",1986,"Bay Anchovy",0.0384136289927359,1.43922377933564e-05,2098,0.0309779568168692,0.0458493011686025,"1.YOY"
"118",1987,"Bay Anchovy",0.0804789457990021,8.49055669048927e-05,1891,0.0624186793053472,0.0985392122926571,"1.YOY"
"119",1988,"Bay Anchovy",0.153390452911268,0.000177092247145064,1680,0.12730755474729,0.179473351075247,"1.YOY"
"120",1989,"Bay Anchovy",0.123412151938336,0.000123154527521375,1679,0.1016610500599,0.145163253816772,"1.YOY"
"121",1990,"Bay Anchovy",0.0529592677557732,2.40384807145792e-05,1663,0.0433495733010506,0.0625689622104959,"1.YOY"
"122",1991,"Bay Anchovy",0.111217399885419,4.71740070957405e-05,1678,0.0977554659359819,0.124679333834855,"1.YOY"
"123",1992,"Bay Anchovy",0.0804738798272062,5.40046531487693e-05,1680,0.066070259603932,0.0948775000504803,"1.YOY"
"124",1993,"Bay Anchovy",0.10951914076379,8.92383509488685e-05,1680,0.0910037944530893,0.12803448707449,"1.YOY"
"125",1994,"Bay Anchovy",0.0928804757733375,8.01510793412034e-05,1681,0.07533315727742,0.110427794269255,"1.YOY"
"126",1995,"Bay Anchovy",0.203166433843885,0.000221584522294429,1680,0.173990431704348,0.232342435983422,"1.YOY"
"127",1996,"Bay Anchovy",0.0353707459378068,7.26626551849765e-06,1667,0.0300873676988521,0.0406541241767616,"1.YOY"
"128",1997,"Bay Anchovy",0.101725757935102,3.9828650286966e-05,2015,0.0893562089157397,0.114095306954464,"1.YOY"
"129",1998,"Bay Anchovy",0.0626364996366083,1.45868083879164e-05,2130,0.0551507342713954,0.0701222650018211,"1.YOY"
"130",1999,"Bay Anchovy",0.066715101289163,2.38785226022876e-05,2085,0.0571374328657444,0.0762927697125815,"1.YOY"
"131",2000,"Bay Anchovy",0.0164204926278505,1.64567513021848e-06,2110,0.0139061287758499,0.0189348564798512,"1.YOY"
"132",2001,"Bay Anchovy",0.0332604598414276,5.72443461180225e-06,2083,0.0285710048619338,0.0379499148209214,"1.YOY"
"133",2002,"Bay Anchovy",0.0566887963642853,1.41673058534243e-05,2128,0.0493114579440612,0.0640661347845094,"1.YOY"
"134",2003,"Bay Anchovy",0.0468245085384809,1.4911032930662e-05,2130,0.0392560064339406,0.0543930106430212,"1.YOY"
"135",2004,"Bay Anchovy",0.0692167406936565,5.8024801851928e-05,2126,0.0542866342374263,0.0841468471498867,"1.YOY"
"136",2005,"Bay Anchovy",0.0685293725082665,7.29062388311212e-05,2128,0.0517938830593846,0.0852648619571483,"1.YOY"
"137",2006,"Bay Anchovy",0.0481750233985487,2.51867617665523e-05,2129,0.0383384862028488,0.0580115605942486,"1.YOY"
"138",2007,"Bay Anchovy",0.121945411825235,5.92082376578993e-05,2129,0.106863821531549,0.13702700211892,"1.YOY"
"139",2008,"Bay Anchovy",0.0720020154782042,2.37801182702729e-05,2103,0.062444102403318,0.0815599285530904,"1.YOY"
"140",2009,"Bay Anchovy",0.0279917776906977,1.42584073715129e-05,2130,0.0205907576421906,0.0353927977392048,"1.YOY"
"141",2010,"Bay Anchovy",0.0485976651428985,1.68866155516165e-05,2129,0.0405433729764142,0.0566519573093827,"1.YOY"
"142",2011,"Bay Anchovy",0.0238987204913498,6.05954237273775e-06,2086,0.019073957494154,0.0287234834885455,"1.YOY"
"143",2012,"Bay Anchovy",0.218916209392302,0.000132056593687118,2080,0.196392697003946,0.241439721780658,"1.YOY"
"144",2013,"Bay Anchovy",0.0324318709371263,6.71966659200524e-06,2053,0.0273510962737657,0.037512645600487,"1.YOY"
"145",2014,"Bay Anchovy",0.0316022304091648,5.198823864403e-06,2126,0.0271332482255473,0.0360712125927823,"1.YOY"
"146",2015,"Bay Anchovy",0.0544633360858244,2.63904934227715e-05,2070,0.0443944871181956,0.0645321850534532,"1.YOY"
"147",2016,"Bay Anchovy",0.0455819887139575,9.14151331179939e-06,1935,0.039655941334919,0.0515080360929959,"1.YOY"
"148",2017,"Bay Anchovy",0.026875858129648,3.74766873460746e-06,2093,0.0230815144168476,0.0306702018424484,"1.YOY"
"149",2018,"Bay Anchovy",0.0219935986121672,2.01995049208739e-06,1950,0.019207949350253,0.0247792478740813,"1.YOY"
"150",2023,"Bay Anchovy",0.0523061989525861,1.10633247285885e-05,1793,0.0457869299538911,0.0588254679512811,"1.YOY"
"151",2024,"Bay Anchovy",0.0530032286391932,1.05433842244285e-05,2025,0.0466389953910662,0.0593674618873201,"1.YOY"
"152",2025,"Bay Anchovy",0.0443875807906425,8.70143373207959e-06,2014,0.0386059350193109,0.0501692265619741,"1.YOY"
"1161",1985,"Bay Anchovy",0.0023586939893315,1.74047646479351e-07,1801,0.00154100123608303,0.00317638674257998,"2.YEARLING"
"1171",1986,"Bay Anchovy",0.00443487167100613,4.57807338751491e-07,2098,0.00310870702340474,0.00576103631860752,"2.YEARLING"
"1181",1987,"Bay Anchovy",0.00466720074283731,3.4143287031797e-06,1891,0.00104553190842753,0.0082888695772471,"2.YEARLING"
"1191",1988,"Bay Anchovy",0.00424812658513861,6.69510356167185e-07,1680,0.00264438378024381,0.00585186939003342,"2.YEARLING"
"1201",1989,"Bay Anchovy",0.00126062096508301,4.18825203538218e-08,1679,0.00085950266558616,0.00166173926457985,"2.YEARLING"
"1211",1990,"Bay Anchovy",0.0033839821150679,2.98068597514736e-07,1663,0.00231390719983411,0.0044540570303017,"2.YEARLING"
"1221",1991,"Bay Anchovy",0.0030177044887212,1.17062169757712e-07,1678,0.00234710324256874,0.00368830573487365,"2.YEARLING"
"1231",1992,"Bay Anchovy",0.00777075908971003,1.28029790482635e-06,1680,0.00555301419203111,0.00998850398738896,"2.YEARLING"
"1241",1993,"Bay Anchovy",0.00169465948753408,1.0482587367037e-07,1680,0.00106007373580931,0.00232924523925885,"2.YEARLING"
"1251",1994,"Bay Anchovy",0.00231419723028912,2.00792400687526e-07,1681,0.00143592387507378,0.00319247058550445,"2.YEARLING"
"1261",1995,"Bay Anchovy",0.00225917148374044,1.12707164665241e-07,1680,0.00160116248397069,0.00291718048351019,"2.YEARLING"
"1271",1996,"Bay Anchovy",0.00127219847428576,3.29226523611159e-08,1667,0.000916564306480605,0.00162783264209091,"2.YEARLING"
