"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage"
"154",1985,"Blueback Herring",0.0203778686516972,6.10648844514337e-06,1801,0.0155344518813931,0.0252212854220013,"1.YOY"
"155",1986,"Blueback Herring",0.0063440186683497,7.79557881754391e-07,2098,0.00461348419641692,0.00807455314028248,"1.YOY"
"156",1987,"Blueback Herring",0.0145492491501474,9.04811134375471e-06,1891,0.00865355372567299,0.0204449445746217,"1.YOY"
"157",1988,"Blueback Herring",0.024288164994814,5.53661700036987e-06,1680,0.0196762816627445,0.0289000483268836,"1.YOY"
"158",1989,"Blueback Herring",0.0124566330866751,1.48006954438246e-06,1679,0.0100721341536287,0.0148411320197216,"1.YOY"
"159",1990,"Blueback Herring",0.0197611752138105,4.71693697594712e-06,1663,0.0155043471591671,0.0240180032684538,"1.YOY"
"160",1991,"Blueback Herring",0.0198703856025301,4.46861368400578e-06,1678,0.0157271228389008,0.0240136483661593,"1.YOY"
"161",1992,"Blueback Herring",0.0185797928888218,5.51140182930491e-06,1680,0.013978423389699,0.0231811623879446,"1.YOY"
"162",1993,"Blueback Herring",0.00702226283972961,4.2244903691213e-07,1680,0.00574833967870237,0.00829618600075685,"1.YOY"
"163",1994,"Blueback Herring",0.00643396243986405,3.79921470737548e-07,1681,0.00522586214519255,0.00764206273453555,"1.YOY"
"164",1995,"Blueback Herring",0.0052167541542195,4.24731100094409e-07,1680,0.0039393947709124,0.00649411353752659,"1.YOY"
"165",1996,"Blueback Herring",0.0192747932741972,8.09643823966855e-06,1667,0.0136977620620279,0.0248518244863665,"1.YOY"
"166",1997,"Blueback Herring",0.00741182235072947,1.0830683470051e-06,2015,0.0053720391853281,0.00945160551613083,"1.YOY"
"167",1998,"Blueback Herring",0.000263165262615154,4.3450394540353e-09,2130,0.000133968112620961,0.000392362412609347,"1.YOY"
"168",1999,"Blueback Herring",0.00461541782493476,3.41277611522832e-07,2085,0.00347040600297566,0.00576042964689387,"1.YOY"
"169",2000,"Blueback Herring",0.00223467898388766,1.07744716979983e-07,2110,0.0015913189721133,0.00287803899566202,"1.YOY"
"170",2001,"Blueback Herring",0.00469542931288602,1.9382407626405e-06,2083,0.00196670328894009,0.00742415533683194,"1.YOY"
"171",2002,"Blueback Herring",0.00155626454676445,5.16605205578205e-08,2128,0.00111077711060611,0.00200175198292278,"1.YOY"
"172",2003,"Blueback Herring",0.00384499700606913,2.56435377407023e-07,2130,0.00285246380972413,0.00483753020241412,"1.YOY"
"173",2004,"Blueback Herring",0.00165059560149024,6.31704345995155e-08,2126,0.00115797450819692,0.00214321669478355,"1.YOY"
"174",2005,"Blueback Herring",0.00634350477603352,1.15654873232568e-06,2128,0.00423566284407981,0.00845134670798723,"1.YOY"
"175",2006,"Blueback Herring",0.000686738979714914,3.74529121315962e-08,2129,0.000307424984132442,0.00106605297529739,"1.YOY"
"176",2007,"Blueback Herring",0.00424175129686485,2.72048148716513e-07,2129,0.00321944988920204,0.00526405270452766,"1.YOY"
"177",2008,"Blueback Herring",0.00368088819202726,2.36749286917996e-07,2103,0.00272721316319187,0.00463456322086264,"1.YOY"
"178",2009,"Blueback Herring",0.000781448543812802,2.71659561859201e-08,2130,0.000458399418626197,0.00110449766899941,"1.YOY"
"179",2010,"Blueback Herring",0.00460293813721599,5.00351862775828e-07,2129,0.00321652127492687,0.00598935499950512,"1.YOY"
"180",2011,"Blueback Herring",0.00754140988572779,7.69300001894224e-07,2086,0.0058222988109927,0.00926052096046289,"1.YOY"
"181",2012,"Blueback Herring",0.00588143363728325,6.61332920997282e-07,2080,0.00428751502289193,0.00747535225167458,"1.YOY"
"182",2013,"Blueback Herring",0.000163842892241303,1.63266296335317e-09,2053,8.46466925848958e-05,0.00024303909189771,"1.YOY"
"183",2014,"Blueback Herring",0.0194976330351126,9.93978268405408e-06,2126,0.0133182585393354,0.0256770075308899,"1.YOY"
"184",2015,"Blueback Herring",0.00338176365087219,1.66848212545812e-07,2070,0.00258116131930177,0.00418236598244261,"1.YOY"
"185",2016,"Blueback Herring",0.00161105215289503,2.43998157299459e-07,1935,0.000642887228369465,0.0025792170774206,"1.YOY"
"186",2017,"Blueback Herring",0.00305735778810894,2.01294868852816e-07,2093,0.00217798621238854,0.00393672936382934,"1.YOY"
"187",2018,"Blueback Herring",0.00511120084123266,1.61149191895263e-07,1950,0.00432439035859733,0.00589801132386799,"1.YOY"
"188",2023,"Blueback Herring",0.00117448276117109,4.46940804769908e-08,1793,0.000760119660062404,0.00158884586227978,"1.YOY"
"189",2024,"Blueback Herring",0.00525834321777407,3.49999721889418e-07,2025,0.00409879204097747,0.00641789439457067,"1.YOY"
"190",2025,"Blueback Herring",0.000180407249150883,1.28176140541371e-09,2014,0.000110235925841163,0.000250578572460604,"1.YOY"
"1541",1985,"Blueback Herring",3.22864129164134e-05,2.28897061242828e-10,1801,2.63289793976266e-06,6.19399278930641e-05,"2.YEARLING"
"1551",1986,"Blueback Herring",8.36773452028911e-06,4.5074057300778e-11,2098,-4.79115975418049e-06,2.15266287947587e-05,"2.YEARLING"
"1561",1987,"Blueback Herring",5.58743779888669e-06,1.96707998786037e-11,1891,-3.10551019438027e-06,1.42803857921536e-05,"2.YEARLING"
"1571",1988,"Blueback Herring",3.32923008628537e-05,2.01888942412462e-10,1680,5.44312562961365e-06,6.11414760960938e-05,"2.YEARLING"
"1581",1989,"Blueback Herring",1.5714820880439e-05,1.18439361971524e-10,1679,-5.61582967105158e-06,3.70454714319296e-05,"2.YEARLING"
"1591",1990,"Blueback Herring",1.53347702404676e-05,8.73903819481606e-11,1663,-2.98786306623958e-06,3.36574035471747e-05,"2.YEARLING"
"1601",1991,"Blueback Herring",4.84729131611161e-07,7.76348288618541e-14,1678,-6.13862028702094e-08,1.03084446609253e-06,"2.YEARLING"
"1611",1992,"Blueback Herring",1.65167511626762e-05,6.37409913521864e-11,1680,8.68511888605809e-07,3.21649904367466e-05,"2.YEARLING"
"1621",1993,"Blueback Herring",1.13558668043477e-05,6.32587109613716e-11,1680,-4.23306080563258e-06,2.6944794414328e-05,"2.YEARLING"
"1631",1994,"Blueback Herring",1.24396287311499e-06,4.23630220870642e-13,1681,-3.17400141188141e-08,2.51966576034879e-06,"2.YEARLING"
"1641",1995,"Blueback Herring",1.49713406515039e-05,4.4221435477931e-11,1680,1.93749752938449e-06,2.80051837736233e-05,"2.YEARLING"
"1651",1996,"Blueback Herring",5.83258555683028e-06,1.77448507413914e-11,1667,-2.423843369051e-06,1.40890144827116e-05,"2.YEARLING"
"1661",1997,"Blueback Herring",5.88185758008847e-06,2.55408199745761e-12,2015,2.74948445393744e-06,9.01423070623949e-06,"2.YEARLING"
"1671",1998,"Blueback Herring",6.6088569852182e-08,4.36769906510675e-15,2130,-6.34450270580948e-08,1.95622166762459e-07,"2.YEARLING"
"1681",1999,"Blueback Herring",1.62880731631996e-07,1.37782724846317e-14,2085,-6.7185805650072e-08,3.92947268914063e-07,"2.YEARLING"
"1691",2000,"Blueback Herring",6.85416738927349e-07,1.18066892417555e-13,2110,1.19438189734132e-08,1.35888965888129e-06,"2.YEARLING"
"1701",2001,"Blueback Herring",7.14199886152289e-07,1.3160126329813e-13,2083,3.17287324342804e-09,1.42522689906115e-06,"2.YEARLING"
"1711",2002,"Blueback Herring",7.65201636703661e-06,1.40693565350817e-11,2128,3.00224744229968e-07,1.50038079898433e-05,"2.YEARLING"
"1721",2003,"Blueback Herring",2.17298150594022e-06,3.97738613020648e-12,2130,-1.73592199220362e-06,6.08188500408407e-06,"2.YEARLING"
"1731",2004,"Blueback Herring",3.97400841939729e-06,1.06824107035304e-11,2126,-2.43204722808834e-06,1.03800640668829e-05,"2.YEARLING"
"1741",2005,"Blueback Herring",3.25704170846961e-06,1.06083206907106e-11,2128,-3.12676004013082e-06,9.64084345707003e-06,"2.YEARLING"
"1751",2006,"Blueback Herring",0,0,2129,0,0,"2.YEARLING"
"1761",2007,"Blueback Herring",0,0,2129,0,0,"2.YEARLING"
"1771",2008,"Blueback Herring",1.30664614859104e-06,2.14821704871044e-13,2103,3.98208444930185e-07,2.21508385225189e-06,"2.YEARLING"
"1781",2009,"Blueback Herring",2.79100752431685e-07,7.78972300079325e-14,2130,-2.67936722334417e-07,8.26138227197786e-07,"2.YEARLING"
"1791",2010,"Blueback Herring",2.04417550347482e-07,4.17865348900653e-14,2129,-1.96240848333583e-07,6.05075949028547e-07,"2.YEARLING"
"1801",2011,"Blueback Herring",0,0,2086,0,0,"2.YEARLING"
"1811",2012,"Blueback Herring",0,0,2080,0,0,"2.YEARLING"
"1821",2013,"Blueback Herring",0,0,2053,0,0,"2.YEARLING"
"1831",2014,"Blueback Herring",0,0,2126,0,0,"2.YEARLING"
"1841",2015,"Blueback Herring",0,0,2070,0,0,"2.YEARLING"
"1851",2016,"Blueback Herring",9.53855494042234e-06,7.03762448267792e-11,1935,-6.90399298033967e-06,2.59811028611843e-05,"2.YEARLING"
"1861",2017,"Blueback Herring",0,0,2093,0,0,"2.YEARLING"
"1871",2018,"Blueback Herring",6.412728056509e-07,4.11230811267377e-13,1950,-6.15621893424864e-07,1.89816750472666e-06,"2.YEARLING"
"1881",2023,"Blueback Herring",8.12007971752425e-06,1.02681804081052e-11,1793,1.8394553969828e-06,1.44007040380657e-05,"2.YEARLING"
"1891",2024,"Blueback Herring",6.23768504682113e-07,1.18300198142152e-13,2025,-5.0369493937526e-08,1.29790650330175e-06,"2.YEARLING"
"1901",2025,"Blueback Herring",8.61906493382602e-06,5.55435548244933e-11,2014,-5.98833456826789e-06,2.32264644359199e-05,"2.YEARLING"
"1542",1985,"Blueback Herring",2.50228500619226e-06,5.28555666628186e-13,1801,1.07732905988415e-06,3.92724095250037e-06,"3.OLDER"
"1552",1986,"Blueback Herring",3.53280389056966e-07,4.98506341152093e-14,2098,-8.43338200553384e-08,7.90894598169271e-07,"3.OLDER"
"1562",1987,"Blueback Herring",3.99728511824337e-07,5.81962318472375e-14,1891,-7.30998336292195e-08,8.72556857277893e-07,"3.OLDER"
"1572",1988,"Blueback Herring",3.61223819591268e-07,6.53126017127778e-14,1680,-1.39680253799843e-07,8.62127892982379e-07,"3.OLDER"
"1582",1989,"Blueback Herring",1.0842097204914e-05,3.33172248321264e-11,1679,-4.71233468017669e-07,2.21554278778457e-05,"3.OLDER"
"1592",1990,"Blueback Herring",2.64061998503234e-07,6.9728739053522e-14,1663,-2.53499518563105e-07,7.81623515569573e-07,"3.OLDER"
"1602",1991,"Blueback Herring",1.81901727385497e-06,4.76431873504053e-13,1678,4.66145999397133e-07,3.17188854831281e-06,"3.OLDER"
"1612",1992,"Blueback Herring",2.60255234149187e-07,3.39385673028554e-14,1680,-1.00824258692278e-07,6.21334726990652e-07,"3.OLDER"
"1622",1993,"Blueback Herring",2.54894289718431e-07,3.26497784763952e-14,1680,-9.92630044248909e-08,6.09051583861753e-07,"3.OLDER"
"1632",1994,"Blueback Herring",0,0,1681,0,0,"3.OLDER"
"1642",1995,"Blueback Herring",1.30138080849248e-06,5.07739492368123e-13,1680,-9.52336815803419e-08,2.69799529856531e-06,"3.OLDER"
"1652",1996,"Blueback Herring",0,0,1667,0,0,"3.OLDER"
"1662",1997,"Blueback Herring",4.07755719936242e-07,1.66264727140723e-13,2015,-3.91445491138793e-07,1.20695693101128e-06,"3.OLDER"
"1672",1998,"Blueback Herring",0,0,2130,0,0,"3.OLDER"
"1682",1999,"Blueback Herring",9.74592002952066e-08,9.4982957221812e-15,2085,-9.35608322833984e-08,2.88479232873812e-07,"3.OLDER"
"1692",2000,"Blueback Herring",1.39271075820929e-07,1.93964325603189e-14,2110,-1.33700232788092e-07,4.12242384429949e-07,"3.OLDER"
"1702",2001,"Blueback Herring",0,0,2083,0,0,"3.OLDER"
"1712",2002,"Blueback Herring",6.63654624182667e-07,4.40437460199037e-13,2128,-6.3710843921536e-07,1.96441768758069e-06,"3.OLDER"
"1722",2003,"Blueback Herring",0,0,2130,0,0,"3.OLDER"
"1732",2004,"Blueback Herring",0,0,2126,0,0,"3.OLDER"
"1742",2005,"Blueback Herring",7.44898983176737e-08,5.54874495137737e-15,2128,-7.15103023849668e-08,2.20490099020314e-07,"3.OLDER"
"1752",2006,"Blueback Herring",0,0,2129,0,0,"3.OLDER"
"1762",2007,"Blueback Herring",0,0,2129,0,0,"3.OLDER"
"1772",2008,"Blueback Herring",0,0,2103,0,0,"3.OLDER"
"1782",2009,"Blueback Herring",0,0,2130,0,0,"3.OLDER"
"1792",2010,"Blueback Herring",3.00590582241241e-07,4.91012283681731e-14,2129,-1.33721838602526e-07,7.34903003085009e-07,"3.OLDER"
"1802",2011,"Blueback Herring",0,0,2086,0,0,"3.OLDER"
"1812",2012,"Blueback Herring",0,0,2080,0,0,"3.OLDER"
"1822",2013,"Blueback Herring",2.80260804206565e-07,7.85461183745106e-14,2053,-2.69050372038302e-07,8.29571980451432e-07,"3.OLDER"
"1832",2014,"Blueback Herring",0,0,2126,0,0,"3.OLDER"
"1842",2015,"Blueback Herring",0,0,2070,0,0,"3.OLDER"
"1852",2016,"Blueback Herring",1.49736423641403e-07,2.24209965649177e-14,1935,-1.43746966695747e-07,4.43219813978552e-07,"3.OLDER"
"1862",2017,"Blueback Herring",7.04295925748147e-08,4.9603275102544e-15,2093,-6.76124088718222e-08,2.08471594021452e-07,"3.OLDER"
"1872",2018,"Blueback Herring",0,0,1950,0,0,"3.OLDER"
"1882",2023,"Blueback Herring",1.8870058764713e-07,3.56079117783722e-14,1793,-1.81152564141245e-07,5.58553739435505e-07,"3.OLDER"
"1892",2024,"Blueback Herring",0,0,2025,0,0,"3.OLDER"
"1902",2025,"Blueback Herring",1.35375502172976e-07,1.83265265885855e-14,2014,-1.29960482086057e-07,4.0071148643201e-07,"3.OLDER"
