"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage"
"192",1985,"Channel Catfish",0,0,1801,0,0,"1.YOY"
"193",1986,"Channel Catfish",3.02694888156281e-07,3.07732836456224e-14,2098,-4.11344975178101e-08,6.46524273830373e-07,"1.YOY"
"194",1987,"Channel Catfish",8.9028944359149e-07,6.11542792775118e-13,1891,-6.42454107275678e-07,2.42303299445866e-06,"1.YOY"
"195",1988,"Channel Catfish",5.55924431425803e-07,8.49652357461054e-14,1680,-1.53919867193768e-08,1.12724084957098e-06,"1.YOY"
"196",1989,"Channel Catfish",1.35321551783249e-06,4.05864188140713e-13,1679,1.04549083126503e-07,2.60188195253848e-06,"1.YOY"
"197",1990,"Channel Catfish",0,0,1663,0,0,"1.YOY"
"198",1991,"Channel Catfish",2.11434616465733e-07,1.44284678277286e-14,1678,-2.39977560045844e-08,4.46866988936051e-07,"1.YOY"
"199",1992,"Channel Catfish",5.02805439582653e-07,6.81244792939558e-14,1680,-8.76762426615861e-09,1.01437850343147e-06,"1.YOY"
"200",1993,"Channel Catfish",1.28428970251033e-07,1.64940003997407e-14,1680,-1.23291811440992e-07,3.80149751943057e-07,"1.YOY"
"201",1994,"Channel Catfish",3.54941204528414e-06,7.15180671963075e-13,1681,1.8918722812322e-06,5.20695180933607e-06,"1.YOY"
"202",1995,"Channel Catfish",3.98285406521572e-06,1.52155232186844e-12,1680,1.56517017361827e-06,6.40053795681317e-06,"1.YOY"
"203",1996,"Channel Catfish",1.94086885918754e-06,8.59972139466923e-13,1667,1.23269076238571e-07,3.7584686421365e-06,"1.YOY"
"204",1997,"Channel Catfish",8.7049225776182e-06,2.16101454720254e-12,2015,5.82364621382849e-06,1.15861989414079e-05,"1.YOY"
"205",1998,"Channel Catfish",1.44618755129577e-05,5.96411126519434e-12,2130,9.67525563705668e-06,1.92484953888587e-05,"1.YOY"
"206",1999,"Channel Catfish",3.21385880694764e-05,2.5413277337161e-11,2085,2.22579177370324e-05,4.20192584019203e-05,"1.YOY"
"207",2000,"Channel Catfish",3.78899036300401e-05,2.22907768734573e-11,2110,2.86361342122799e-05,4.71436730478002e-05,"1.YOY"
"208",2001,"Channel Catfish",6.70422246630457e-05,6.80026826559182e-11,2083,5.08793318003501e-05,8.32051175257413e-05,"1.YOY"
"209",2002,"Channel Catfish",9.21690458060051e-05,2.54745060330309e-10,2128,6.08860052925749e-05,0.000123452086319435,"1.YOY"
"210",2003,"Channel Catfish",0.000241402247639677,3.69700720894659e-10,2130,0.000203716145567575,0.000279088349711779,"1.YOY"
"211",2004,"Channel Catfish",0.000149686062190041,2.11709836418268e-10,2126,0.000121167568057559,0.000178204556322523,"1.YOY"
"212",2005,"Channel Catfish",0.000387925190486642,1.22961318869527e-09,2128,0.000319196142583359,0.000456654238389925,"1.YOY"
"213",2006,"Channel Catfish",0.000373433440159885,9.72930125402286e-10,2129,0.000312297457549434,0.000434569422770337,"1.YOY"
"214",2007,"Channel Catfish",0.000169219198171531,1.36457685366127e-09,2129,9.68164465592811e-05,0.00024162194978378,"1.YOY"
"215",2008,"Channel Catfish",0.000342128452580294,1.2065987609639e-09,2103,0.000274045636832714,0.000410211268327874,"1.YOY"
"216",2009,"Channel Catfish",0.000241427815428296,4.52840597236581e-10,2130,0.000199718914239892,0.0002831367166167,"1.YOY"
"217",2010,"Channel Catfish",0.000275649447001196,4.51700003763759e-10,2129,0.000233993106133822,0.00031730578786857,"1.YOY"
"218",2011,"Channel Catfish",0.0002746451209485,5.38110136789564e-10,2086,0.000229178606880553,0.000320111635016446,"1.YOY"
"219",2012,"Channel Catfish",0.000373892485932653,1.19467476903538e-09,2080,0.000306146913437276,0.000441638058428029,"1.YOY"
"220",2013,"Channel Catfish",0.000413185040316907,1.15535792838648e-09,2053,0.00034656354965744,0.000479806530976374,"1.YOY"
"221",2014,"Channel Catfish",0.000244440220364404,5.29120936186311e-10,2126,0.000199355067725721,0.000289525373003087,"1.YOY"
"222",2015,"Channel Catfish",7.0214124025457e-05,8.91013283472983e-11,2070,5.17129980332644e-05,8.87152500176495e-05,"1.YOY"
"223",2016,"Channel Catfish",9.24628792847588e-05,1.73708822299773e-10,1935,6.66303453063275e-05,0.00011829541326319,"1.YOY"
"224",2017,"Channel Catfish",0.000188530916047422,9.93872861313336e-10,2093,0.000126740447656081,0.000250321384438763,"1.YOY"
"225",2018,"Channel Catfish",0.000248244094623946,7.2655532751664e-10,1950,0.000195412901696018,0.000301075287551874,"1.YOY"
"226",2023,"Channel Catfish",0.000120840420519122,3.19119542597203e-10,1793,8.58271425400263e-05,0.000155853698498217,"1.YOY"
"227",2024,"Channel Catfish",3.2530701812635e-05,4.15908188162628e-11,2025,1.98904767527496e-05,4.51709268725204e-05,"1.YOY"
"228",2025,"Channel Catfish",0.000167036907279672,3.25928312360815e-10,2014,0.000131652077129376,0.000202421737429968,"1.YOY"
"1921",1985,"Channel Catfish",0,0,1801,0,0,"2.YEARLING"
"1931",1986,"Channel Catfish",0,0,2098,0,0,"2.YEARLING"
"1941",1987,"Channel Catfish",2.24519207786651e-07,3.12393026093858e-14,1891,-1.219038066108e-07,5.70942222184102e-07,"2.YEARLING"
"1951",1988,"Channel Catfish",6.57001574456163e-07,8.65207914135812e-14,1680,8.04790056920135e-08,1.23352414322031e-06,"2.YEARLING"
"1961",1989,"Channel Catfish",1.31772116484361e-05,1.64992011210222e-10,1679,-1.19988347104581e-05,3.83532580073303e-05,"2.YEARLING"
"1971",1990,"Channel Catfish",0,0,1663,0,0,"2.YEARLING"
"1981",1991,"Channel Catfish",0,0,1678,0,0,"2.YEARLING"
"1991",1992,"Channel Catfish",6.53551105904813e-07,2.19932436735899e-13,1680,-2.65629207725015e-07,1.57273141953464e-06,"2.YEARLING"
"2001",1993,"Channel Catfish",2.44432120546906e-06,3.06403021868344e-13,1680,1.35938901919684e-06,3.52925339174129e-06,"2.YEARLING"
"2011",1994,"Channel Catfish",1.30464528522897e-05,3.88105984460817e-12,1681,9.1851733365013e-06,1.6907732368078e-05,"2.YEARLING"
"2021",1995,"Channel Catfish",7.29621790495227e-06,2.43169267580418e-12,1680,4.23981633065459e-06,1.03526194792499e-05,"2.YEARLING"
"2031",1996,"Channel Catfish",1.38467256496808e-05,5.93891032562458e-12,1667,9.07022924468696e-06,1.86232220546747e-05,"2.YEARLING"
"2041",1997,"Channel Catfish",9.57322936911628e-07,2.15091894133738e-13,2015,4.83141247958342e-08,1.86633174902742e-06,"2.YEARLING"
"2051",1998,"Channel Catfish",3.49706847493014e-06,9.74059091972093e-13,2130,1.5626576065467e-06,5.43147934331359e-06,"2.YEARLING"
"2061",1999,"Channel Catfish",1.90575226320315e-05,2.14223069845336e-11,2085,9.98581196029021e-06,2.81292333037727e-05,"2.YEARLING"
"2071",2000,"Channel Catfish",6.35165584249451e-06,2.16090784958158e-12,2110,3.47045060944488e-06,9.23286107554415e-06,"2.YEARLING"
"2081",2001,"Channel Catfish",1.10609185657518e-05,5.37254333704748e-12,2083,6.51788406405561e-06,1.56039530674479e-05,"2.YEARLING"
"2091",2002,"Channel Catfish",2.35134415912805e-06,5.01495195223366e-13,2128,9.63344180032197e-07,3.7393441382239e-06,"2.YEARLING"
"2101",2003,"Channel Catfish",1.37621881150188e-05,2.45438637028693e-11,2130,4.0520023906908e-06,2.34723738393468e-05,"2.YEARLING"
"2111",2004,"Channel Catfish",6.04258937060895e-06,1.2537954920991e-11,2126,-8.97569678323505e-07,1.29827484195414e-05,"2.YEARLING"
"2121",2005,"Channel Catfish",6.33186470629307e-05,7.29018331493692e-11,2128,4.65836632796515e-05,8.00536308462098e-05,"2.YEARLING"
"2131",2006,"Channel Catfish",3.51941104612083e-05,4.35734740289492e-11,2129,2.22561099267513e-05,4.81321109956654e-05,"2.YEARLING"
"2141",2007,"Channel Catfish",2.9324584284804e-05,4.74114928236375e-11,2129,1.58288075071862e-05,4.28203610624217e-05,"2.YEARLING"
"2151",2008,"Channel Catfish",5.41170276181668e-06,3.56926480685819e-12,2103,1.70877315378652e-06,9.11463236984685e-06,"2.YEARLING"
"2161",2009,"Channel Catfish",1.37031136674686e-05,2.16091246735245e-11,2130,4.59193298954258e-06,2.28142943453945e-05,"2.YEARLING"
"2171",2010,"Channel Catfish",3.01531607749113e-05,2.7036822819588e-11,2129,1.99617595688097e-05,4.03445619810129e-05,"2.YEARLING"
"2181",2011,"Channel Catfish",2.91573292545459e-05,9.64665124121236e-11,2086,9.90672526188079e-06,4.8407933247211e-05,"2.YEARLING"
"2191",2012,"Channel Catfish",5.41573559182048e-05,4.89200492276356e-11,2080,4.04485535958688e-05,6.78661582405408e-05,"2.YEARLING"
"2201",2013,"Channel Catfish",1.30473965326976e-05,5.22750477991498e-12,2053,8.56610404475161e-06,1.75286890206436e-05,"2.YEARLING"
"2211",2014,"Channel Catfish",8.4593052718786e-07,2.30597241040237e-13,2126,-9.5272087120119e-08,1.78713314149584e-06,"2.YEARLING"
"2221",2015,"Channel Catfish",7.61269864481156e-06,2.38246371558239e-12,2070,4.58739327017889e-06,1.06380040194442e-05,"2.YEARLING"
"2231",2016,"Channel Catfish",1.37236832972201e-05,5.35692488985537e-12,1935,9.18725709845216e-06,1.82601094959881e-05,"2.YEARLING"
"2241",2017,"Channel Catfish",2.12650499148532e-05,2.48648682312612e-11,2093,1.14915716293495e-05,3.1038528200357e-05,"2.YEARLING"
"2251",2018,"Channel Catfish",3.13031852723375e-05,1.73079226698557e-11,1950,2.31490381232779e-05,3.94573324213972e-05,"2.YEARLING"
"2261",2023,"Channel Catfish",2.91653055952953e-05,3.04696521848866e-11,1793,1.83462383603873e-05,3.99843728302033e-05,"2.YEARLING"
"2271",2024,"Channel Catfish",8.97887639238888e-06,3.28959939594284e-12,2025,5.42397484108622e-06,1.25337779436915e-05,"2.YEARLING"
"2281",2025,"Channel Catfish",1.98559052120728e-05,7.47886002055252e-11,2014,2.9057463175507e-06,3.68060641065948e-05,"2.YEARLING"
"1922",1985,"Channel Catfish",0,0,1801,0,0,"3.OLDER"
"1932",1986,"Channel Catfish",9.70364606187139e-08,9.41607468940721e-15,2098,-9.31550021939653e-08,2.87227923431393e-07,"3.OLDER"
"1942",1987,"Channel Catfish",5.61298019466627e-08,3.15055466657158e-15,1891,-5.38846098687962e-08,1.66144213762122e-07,"3.OLDER"
"1952",1988,"Channel Catfish",0,0,1680,0,0,"3.OLDER"
"1962",1989,"Channel Catfish",0,0,1679,0,0,"3.OLDER"
"1972",1990,"Channel Catfish",1.04397699701135e-07,1.08988797028883e-14,1663,-1.00221791713089e-07,3.09017191115359e-07,"3.OLDER"
"1982",1991,"Channel Catfish",7.37652670969331e-08,5.44131462988189e-15,1678,-7.08146564130558e-08,2.18345190606922e-07,"3.OLDER"
"1992",1992,"Channel Catfish",0,0,1680,0,0,"3.OLDER"
"2002",1993,"Channel Catfish",0,0,1680,0,0,"3.OLDER"
"2012",1994,"Channel Catfish",0,0,1681,0,0,"3.OLDER"
