"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage"
"230",1985,"Hogchoker",0.000406859988672332,4.72953950753212e-09,1801,0.000272067559463065,0.0005416524178816,"1.YOY"
"231",1986,"Hogchoker",0.000446471161044767,6.14106667886702e-09,2098,0.000292875842907997,0.000600066479181537,"1.YOY"
"232",1987,"Hogchoker",0.00064757463396991,1.87780240530052e-08,1891,0.000378990090107042,0.000916159177832778,"1.YOY"
"233",1988,"Hogchoker",0.00150036974459486,2.23969412490957e-08,1680,0.00120704383455191,0.00179369565463781,"1.YOY"
"234",1989,"Hogchoker",0.000438997174787826,1.08916157682156e-08,1679,0.000234445882601302,0.000643548466974351,"1.YOY"
"235",1990,"Hogchoker",0.000238686599293096,3.69017774532178e-09,1663,0.000119622806197008,0.000357750392389184,"1.YOY"
"236",1991,"Hogchoker",0.000883115253817701,1.88794731949277e-08,1678,0.000613806167031468,0.00115242434060393,"1.YOY"
"237",1992,"Hogchoker",0.00013935875893502,2.18819317001464e-09,1680,4.76736299231232e-05,0.000231043887946917,"1.YOY"
"238",1993,"Hogchoker",0.000202059041888964,2.17517336721764e-09,1680,0.00011064708420561,0.000293470999572318,"1.YOY"
"239",1994,"Hogchoker",0.00107355164281316,7.92090996433501e-09,1681,0.000899112634219933,0.0012479906514064,"1.YOY"
"240",1995,"Hogchoker",0.000227367085834001,2.06742619619842e-09,1680,0.000138247926977356,0.000316486244690645,"1.YOY"
"241",1996,"Hogchoker",2.65851311766343e-05,7.72555213349934e-11,1667,9.35768764137603e-06,4.38125747118925e-05,"1.YOY"
"242",1997,"Hogchoker",2.76253819405262e-05,5.54607020750923e-11,2015,1.30288812265991e-05,4.22218826544533e-05,"1.YOY"
"243",1998,"Hogchoker",9.26620263516541e-05,8.60708717832965e-11,2130,7.44782461879282e-05,0.00011084580651538,"1.YOY"
"244",1999,"Hogchoker",1.84911276304056e-05,3.02214742472464e-11,2085,7.71621159972476e-06,2.92660436610863e-05,"1.YOY"
"245",2000,"Hogchoker",0.000118939111346814,1.70750150520793e-10,2110,9.33275167412321e-05,0.000144550705952396,"1.YOY"
"246",2001,"Hogchoker",0.000183285180912154,1.84236723602307e-09,2083,9.91564820400913e-05,0.000267413879784217,"1.YOY"
"247",2002,"Hogchoker",0.000175839592111411,7.80025495038509e-10,2128,0.000121098876535709,0.000230580307687114,"1.YOY"
"248",2003,"Hogchoker",6.08296738503462e-05,5.80222238894504e-10,2130,1.36175805591446e-05,0.000108041767141548,"1.YOY"
"249",2004,"Hogchoker",6.404073135303e-05,1.47500206308165e-10,2126,4.02365974147107e-05,8.78448652913493e-05,"1.YOY"
"250",2005,"Hogchoker",0.000155335724124453,3.01251348681941e-10,2128,0.000121316800257044,0.000189354647991861,"1.YOY"
"251",2006,"Hogchoker",0.000124457234565434,3.74892470955028e-10,2129,8.65074398832376e-05,0.00016240702924763,"1.YOY"
"252",2007,"Hogchoker",0.000389605813353342,1.54024903139044e-09,2129,0.000312683640483684,0.000466527986222999,"1.YOY"
"253",2008,"Hogchoker",0.000158116334497825,2.63036627156251e-10,2103,0.000126328262727373,0.000189904406268278,"1.YOY"
"254",2009,"Hogchoker",7.08813898220689e-05,5.57451085440531e-10,2130,2.46050017842331e-05,0.000117157777859905,"1.YOY"
