"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage"
"268",1985,"Spottail Shiner",1.94522441426176e-05,7.67752516603627e-11,1801,2.27843248712163e-06,3.66260557981136e-05,"1.YOY"
"269",1986,"Spottail Shiner",2.1864490036084e-05,9.72637185915156e-11,2098,2.53450552131611e-06,4.11944745508519e-05,"1.YOY"
"270",1987,"Spottail Shiner",7.10977669269665e-06,3.90828131587402e-12,1891,3.23497947180088e-06,1.09845739135924e-05,"1.YOY"
"271",1988,"Spottail Shiner",2.00134512960756e-05,3.95108481723389e-11,1680,7.69335087688842e-06,3.23335517152629e-05,"1.YOY"
"272",1989,"Spottail Shiner",1.30299745923802e-06,2.09662407032685e-13,1679,4.05534867896872e-07,2.20046005057916e-06,"1.YOY"
"273",1990,"Spottail Shiner",3.12380522971403e-06,7.5675037210282e-13,1663,1.41877378441158e-06,4.82883667501649e-06,"1.YOY"
"274",1991,"Spottail Shiner",1.76251660436048e-05,3.33722229533231e-11,1678,6.3025015295654e-06,2.89478305576441e-05,"1.YOY"
"275",1992,"Spottail Shiner",1.35184224477536e-05,3.52780802120556e-11,1680,1.87693315545806e-06,2.51599117400492e-05,"1.YOY"
"276",1993,"Spottail Shiner",1.04403630818893e-05,7.09870062707889e-12,1680,5.2182592597706e-06,1.56624669040079e-05,"1.YOY"
"277",1994,"Spottail Shiner",7.33711905509329e-06,1.83585715588622e-12,1681,4.68144045065854e-06,9.99279765952804e-06,"1.YOY"
"278",1995,"Spottail Shiner",3.05201265798803e-06,1.26513181634525e-12,1680,8.47442317610588e-07,5.25658299836548e-06,"1.YOY"
"279",1996,"Spottail Shiner",2.56806549915272e-05,4.92077527746522e-11,1667,1.1931600367332e-05,3.94297096157224e-05,"1.YOY"
"280",1997,"Spottail Shiner",4.93477574849988e-06,5.15133954515816e-12,2015,4.86249476049689e-07,9.38330202095007e-06,"1.YOY"
"281",1998,"Spottail Shiner",3.2814527095138e-06,6.44928201252094e-12,2130,-1.69605286851426e-06,8.25895828754186e-06,"1.YOY"
"282",1999,"Spottail Shiner",2.26843339073933e-05,2.49263931272709e-11,2085,1.28987714893345e-05,3.24698963254521e-05,"1.YOY"
"283",2000,"Spottail Shiner",2.17257919148585e-06,3.53385265980485e-12,2110,-1.51193548183359e-06,5.8570938648053e-06,"1.YOY"
"284",2001,"Spottail Shiner",1.6801397322977e-05,2.46428343291532e-11,2083,7.07165362856884e-06,2.65311410173851e-05,"1.YOY"
"285",2002,"Spottail Shiner",3.13981634948652e-06,8.1753648331467e-13,2128,1.36762895693977e-06,4.91200374203327e-06,"1.YOY"
"286",2003,"Spottail Shiner",4.16878625204704e-06,8.5124699796283e-13,2130,2.36043051619914e-06,5.97714198789494e-06,"1.YOY"
"287",2004,"Spottail Shiner",1.4774177008525e-05,1.12120146034633e-11,2126,8.21124509506862e-06,2.13371089219814e-05,"1.YOY"
"288",2005,"Spottail Shiner",2.23188874385017e-05,5.57146043355845e-11,2128,7.68901307077109e-06,3.69487618062323e-05,"1.YOY"
"289",2006,"Spottail Shiner",2.82860864698396e-06,7.97300944680006e-13,2129,1.0784911340487e-06,4.57872615991922e-06,"1.YOY"
"290",2007,"Spottail Shiner",2.96807387157997e-06,5.05818770790953e-12,2129,-1.44004748549554e-06,7.37619522865548e-06,"1.YOY"
"291",2008,"Spottail Shiner",8.14203290618898e-06,2.52879942204946e-12,2103,5.02520184568134e-06,1.12588639666966e-05,"1.YOY"
"292",2009,"Spottail Shiner",1.35467808427424e-05,4.62995747662338e-11,2130,2.10197831267388e-07,2.68833638542174e-05,"1.YOY"
"293",2010,"Spottail Shiner",1.67505474685089e-05,1.24484553583187e-11,2129,9.83520321789364e-06,2.36658917191241e-05,"1.YOY"
"294",2011,"Spottail Shiner",5.07119244716389e-06,1.22560119310367e-12,2086,2.90133771851797e-06,7.24104717580981e-06,"1.YOY"
"295",2012,"Spottail Shiner",2.19747114371733e-05,6.80870551772053e-11,2080,5.80179484279397e-06,3.81476280315527e-05,"1.YOY"
"296",2013,"Spottail Shiner",1.15324989972078e-05,3.0850565164059e-11,2053,6.46015123419683e-07,2.2418982870996e-05,"1.YOY"
"297",2014,"Spottail Shiner",4.97372107980714e-05,1.49140828232266e-10,2126,2.58010581051871e-05,7.36733634909557e-05,"1.YOY"
"298",2015,"Spottail Shiner",4.1430529281398e-06,6.52797808131266e-12,2070,-8.64729075619022e-07,9.15083493189862e-06,"1.YOY"
"299",2016,"Spottail Shiner",4.96391962658029e-06,1.14162756127495e-12,1935,2.86971895821208e-06,7.05812029494849e-06,"1.YOY"
"300",2017,"Spottail Shiner",4.19467595137668e-06,5.63227327631912e-12,2093,-4.56876587110605e-07,8.84622848986397e-06,"1.YOY"
"301",2018,"Spottail Shiner",3.89403154909273e-06,9.43650264148581e-13,1950,1.99005495922793e-06,5.79800813895752e-06,"1.YOY"
"302",2023,"Spottail Shiner",4.15882377686169e-06,8.13271438820364e-12,1793,-1.43068743555421e-06,9.74833498927759e-06,"1.YOY"
"303",2024,"Spottail Shiner",2.7354477357887e-06,1.80906160859608e-12,2025,9.92210620023368e-08,5.37167440957506e-06,"1.YOY"
"304",2025,"Spottail Shiner",9.03516246514706e-06,6.09300346636726e-11,2014,-6.26414540037302e-06,2.43344703306671e-05,"1.YOY"
"2681",1985,"Spottail Shiner",2.19152099177698e-05,6.06824123199359e-11,1801,6.64702223329773e-06,3.71833976022419e-05,"2.YEARLING"
"2691",1986,"Spottail Shiner",5.69197518349923e-05,1.42740868905441e-10,2098,3.35028066459387e-05,8.03366970240458e-05,"2.YEARLING"
"2701",1987,"Spottail Shiner",2.38854872015733e-05,7.05555253101884e-12,1891,1.86792783502918e-05,2.90916960528548e-05,"2.YEARLING"
"2711",1988,"Spottail Shiner",2.90827322320674e-05,4.58120153494058e-11,1680,1.58165557608201e-05,4.23489087033148e-05,"2.YEARLING"
"2721",1989,"Spottail Shiner",1.39544050622827e-05,1.15873112770686e-11,1679,7.28253763239568e-06,2.06262724921696e-05,"2.YEARLING"
"2731",1990,"Spottail Shiner",2.22639284962253e-06,3.86911869177123e-13,1663,1.00722894077727e-06,3.44555675846778e-06,"2.YEARLING"
"2741",1991,"Spottail Shiner",1.78358467810529e-05,3.07415512640449e-11,1678,6.96861422920447e-06,2.87030793329014e-05,"2.YEARLING"
"2751",1992,"Spottail Shiner",2.25017519329533e-05,7.94288912231545e-12,1680,1.69778581204071e-05,2.80256457454996e-05,"2.YEARLING"
"2761",1993,"Spottail Shiner",2.07931191507411e-05,8.32767360388174e-12,1680,1.51370082150652e-05,2.6449230086417e-05,"2.YEARLING"
"2771",1994,"Spottail Shiner",1.25543429146056e-05,2.31286130334443e-12,1681,9.57355644406998e-06,1.55351293851411e-05,"2.YEARLING"
"2781",1995,"Spottail Shiner",1.93241474192354e-05,8.93879493979748e-12,1680,1.34641751803314e-05,2.51841196581394e-05,"2.YEARLING"
"2791",1996,"Spottail Shiner",3.65719702135735e-05,2.0630277650214e-11,1667,2.76695393870486e-05,4.54744010400985e-05,"2.YEARLING"
"2801",1997,"Spottail Shiner",1.03537381033486e-05,2.89580660451400e-12,2015,7.01839244631374e-06,1.36890837603834e-05,"2.YEARLING"
"2811",1998,"Spottail Shiner",1.43072972524262e-05,5.1928298190882e-12,2130,9.84089209469481e-06,1.87737024101575e-05,"2.YEARLING"
"2821",1999,"Spottail Shiner",1.05529208440797e-05,4.61116415861956e-12,2085,6.34409105044905e-06,1.47617506377103e-05,"2.YEARLING"
"2831",2000,"Spottail Shiner",1.41516900337711e-05,9.19121417715858e-12,2110,8.20955503168874e-06,2.00938250358535e-05,"2.YEARLING"
"2841",2001,"Spottail Shiner",9.14481135477387e-06,7.50308886915746e-12,2083,3.77602506737564e-06,1.45135976421721e-05,"2.YEARLING"
"2851",2002,"Spottail Shiner",5.08206468463236e-06,3.67345193768476e-12,2128,1.32547940491226e-06,8.83864996435247e-06,"2.YEARLING"
"2861",2003,"Spottail Shiner",9.31707568209608e-06,2.58953231729943e-12,2130,6.16303900663755e-06,1.24711123575546e-05,"2.YEARLING"
"2871",2004,"Spottail Shiner",4.47963348075155e-05,7.40879533022596e-11,2126,2.79257603832121e-05,6.16669092318189e-05,"2.YEARLING"
"2881",2005,"Spottail Shiner",1.12802086054942e-05,4.88342399430884e-12,2128,6.94890838309712e-06,1.56115088278912e-05,"2.YEARLING"
"2891",2006,"Spottail Shiner",2.21900092985782e-05,2.27768863913369e-11,2129,1.28358825749893e-05,3.15441360221671e-05,"2.YEARLING"
"2901",2007,"Spottail Shiner",1.5715009594474e-06,3.27101602640342e-13,2129,4.50522138638047e-07,2.69247978025676e-06,"2.YEARLING"
"2911",2008,"Spottail Shiner",1.83676633162098e-05,1.18507222600833e-11,2103,1.16203872262357e-05,2.51149394061839e-05,"2.YEARLING"
"2921",2009,"Spottail Shiner",5.31886583179279e-05,5.78426840941759e-11,2130,3.82820002345014e-05,6.80953164013545e-05,"2.YEARLING"
"2931",2010,"Spottail Shiner",3.30637420235662e-05,3.92757098320459e-11,2129,2.0780356216274e-05,4.53471278308584e-05,"2.YEARLING"
"2941",2011,"Spottail Shiner",3.33876717048128e-05,3.67890497079299e-11,2086,2.14994921403049e-05,4.52758512693207e-05,"2.YEARLING"
"2951",2012,"Spottail Shiner",1.85357639788905e-05,3.02551074161507e-11,2080,7.75485396860453e-06,2.93166739891765e-05,"2.YEARLING"
"2961",2013,"Spottail Shiner",2.18763839861791e-05,3.74851703292974e-11,2053,9.87625772280045e-06,3.38765102495577e-05,"2.YEARLING"
"2971",2014,"Spottail Shiner",8.51079550423294e-06,2.41361507607385e-12,2126,5.46577601722711e-06,1.15558149912388e-05,"2.YEARLING"
"2981",2015,"Spottail Shiner",1.24243065215947e-05,7.78666118751567e-12,2070,6.95500696699354e-06,1.78936060761958e-05,"2.YEARLING"
"2991",2016,"Spottail Shiner",5.39049057090145e-06,1.51306457700596e-12,1935,2.97955944807233e-06,7.80142169373058e-06,"2.YEARLING"
"3001",2017,"Spottail Shiner",5.65423799059937e-06,1.27340938134952e-12,2093,3.44246732450573e-06,7.86600865669302e-06,"2.YEARLING"
"3011",2018,"Spottail Shiner",1.89966171520181e-05,4.54143280412097e-11,1950,5.78814704367058e-06,3.22050872603657e-05,"2.YEARLING"
"3021",2023,"Spottail Shiner",4.5517343433712e-06,4.57711672605838e-12,1793,3.58471697790094e-07,8.74499698895231e-06,"2.YEARLING"
