"","YEAR","SPECIES","AI.D","VAR","SAMPLE_N","LCI","UCI","life.stage"
"306",1985,"Striped Bass",9.36322958948581e-05,1.59055839421071e-10,1801,6.89132968714351e-05,0.000118351294918281,"1.YOY"
"307",1986,"Striped Bass",0.000320603336813373,5.80650709201768e-10,2098,0.000273373814642707,0.00036783285898404,"1.YOY"
"308",1987,"Striped Bass",0.00211812030880436,1.36727357896017e-08,1891,0.00188893657943132,0.0023473040381774,"1.YOY"
"309",1988,"Striped Bass",0.00347561191476266,3.11721776095307e-08,1680,0.00312956128623445,0.00382166254329088,"1.YOY"
"310",1989,"Striped Bass",0.0020935754661474,3.48667999214406e-08,1679,0.00172759145204541,0.00245955948024939,"1.YOY"
"311",1990,"Striped Bass",0.00129341822616681,1.89617972890818e-08,1663,0.00102352261585472,0.0015633138364789,"1.YOY"
"312",1991,"Striped Bass",0.000935344794916453,6.4807290367119e-09,1678,0.000777558963272948,0.00109313062655996,"1.YOY"
"313",1992,"Striped Bass",0.00086667371563151,6.92717517502027e-09,1680,0.000703543595321502,0.00102980383594152,"1.YOY"
"314",1993,"Striped Bass",0.00155257068464929,1.46098673995266e-08,1680,0.00131566296716836,0.00178947840213021,"1.YOY"
"315",1994,"Striped Bass",0.00183630344249255,2.6091363474125e-08,1694,0.00151970814574575,0.00215289873923936,"1.YOY"
"316",1995,"Striped Bass",0.0019380651840951,1.83442513508917e-08,1680,0.00167260091909963,0.00220352944909057,"1.YOY"
"317",1996,"Striped Bass",0.00150230313989743,1.30650882370323e-08,1667,0.00127827001071475,0.00172633626908011,"1.YOY"
"318",1997,"Striped Bass",0.0016054502539117,2.8028195925477e-08,2015,0.0012773144322352,0.0019335860755882,"1.YOY"
"319",1998,"Striped Bass",0.000362903083136464,1.82002736339753e-09,2130,0.000279285996848864,0.000446520169424064,"1.YOY"
"320",1999,"Striped Bass",0.00209718696149821,6.34776565855382e-08,2085,0.00160336941873671,0.0025910045042597,"1.YOY"
"321",2000,"Striped Bass",0.000931888190428594,1.26267236005632e-08,2110,0.000711645548363249,0.00115213083249394,"1.YOY"
"322",2001,"Striped Bass",0.000839851666444436,7.8631436160977e-09,2083,0.000666049904325633,0.00101365342856324,"1.YOY"
"323",2002,"Striped Bass",0.000883588021550346,1.85917701755248e-08,2128,0.000616338803953182,0.00115083723914751,"1.YOY"
"324",2003,"Striped Bass",0.0055123861087722,7.8662184632222e-07,2130,0.00377402869879247,0.00725074351875193,"1.YOY"
"325",2004,"Striped Bass",0.00041701258973936,1.88872178443818e-09,2126,0.000331832113061322,0.000502193066417397,"1.YOY"
"326",2005,"Striped Bass",0.0014966680461326,2.81001561302071e-08,2128,0.00116811126292793,0.00182522482933728,"1.YOY"
"327",2006,"Striped Bass",0.000789881914409664,2.31935610009832e-08,2129,0.000491385040152366,0.00108837878866696,"1.YOY"
"328",2007,"Striped Bass",0.00155317861079827,1.28494732842058e-07,2129,0.000850593836065671,0.00225576338553086,"1.YOY"
"329",2008,"Striped Bass",0.000429094677190243,3.89816665700272e-09,2103,0.000306721489646804,0.000551467864733682,"1.YOY"
"330",2009,"Striped Bass",0.000600364678544068,1.54874385268578e-08,2130,0.000356445544721449,0.000844283812366687,"1.YOY"
"331",2010,"Striped Bass",0.00105142478593357,1.0925467570189e-08,2129,0.000846555861453454,0.00125629371041368,"1.YOY"
"332",2011,"Striped Bass",0.00057156423036456,3.15369994026748e-09,2086,0.000461494917245364,0.000681633543483756,"1.YOY"
"333",2012,"Striped Bass",0.00333595096358321,4.6083330281096e-07,2080,0.00200541076649085,0.00466649116067557,"1.YOY"
"334",2013,"Striped Bass",0.00047816503716143,4.81923906544282e-09,2053,0.000342100387844257,0.000614229686478602,"1.YOY"
"335",2014,"Striped Bass",0.00554715706733555,1.44778547271292e-06,2126,0.00318880750207302,0.00790550663259808,"1.YOY"
"336",2015,"Striped Bass",0.000847831559304657,1.67015727475366e-08,2070,0.000594531812232267,0.00110113130637705,"1.YOY"
"337",2016,"Striped Bass",0.000269226171300093,1.32684051491964e-09,1935,0.000197831560004035,0.000340620782596152,"1.YOY"
"338",2017,"Striped Bass",0.00217078801931098,9.05565226125943e-08,2093,0.00158097284718623,0.00276060319143572,"1.YOY"
"339",2018,"Striped Bass",0.00151346028205586,1.16127515640855e-08,1950,0.00130224582609086,0.00172467473802086,"1.YOY"
"340",2023,"Striped Bass",0.00039921673191631,3.21042093614933e-09,1793,0.000288162001858057,0.000510271461974562,"1.YOY"
"341",2024,"Striped Bass",0.00307663737827046,1.25157751465911e-07,2025,0.00238323560582432,0.00377003915071659,"1.YOY"
"342",2025,"Striped Bass",0.00084247572943289,9.7700505773312e-09,2014,0.000648742339698762,0.00103620911916702,"1.YOY"
"3061",1985,"Striped Bass",4.04471045756339e-05,3.18010900268409e-11,1801,2.9394183357824e-05,5.15000257934438e-05,"2.YEARLING"
"3071",1986,"Striped Bass",2.05234332290744e-05,4.90710971238207e-12,2098,1.618164181641e-05,2.48652246417389e-05,"2.YEARLING"
"3081",1987,"Striped Bass",2.78566407506543e-05,9.96191248196412e-12,1891,2.16703912414029e-05,3.40428902599057e-05,"2.YEARLING"
"3091",1988,"Striped Bass",0.000136263501688368,2.34673582891811e-10,1680,0.000106238145136993,0.000166288858239743,"2.YEARLING"
"3101",1989,"Striped Bass",9.40946015702393e-05,3.44174161974507e-10,1679,5.77328158516959e-05,0.000130456387288783,"2.YEARLING"
"3111",1990,"Striped Bass",3.87036760631838e-05,1.57156883198305e-10,1663,1.41326792886407e-05,6.3274672837727e-05,"2.YEARLING"
"3121",1991,"Striped Bass",3.94533693603529e-05,7.98353050629588e-11,1678,2.19406508983362e-05,5.69660878223697e-05,"2.YEARLING"
"3131",1992,"Striped Bass",4.84986499997811e-05,1.29824627634472e-10,1680,2.61662903053693e-05,7.08310096941929e-05,"2.YEARLING"
"3141",1993,"Striped Bass",5.59807605739332e-06,5.14349791469980e-12,1680,1.15293696068208e-06,1.00432151541045e-05,"2.YEARLING"
"3151",1994,"Striped Bass",1.01683712416042e-05,9.30058512216053e-12,1694,4.19098654549409e-06,1.61457559377144e-05,"2.YEARLING"
"3161",1995,"Striped Bass",3.32207629853459e-05,2.01064105340846e-11,1680,2.44320892112353e-05,4.20094367594565e-05,"2.YEARLING"
"3171",1996,"Striped Bass",2.56214661884708e-05,4.37496119623914e-11,1667,1.26573422568384e-05,3.85855901201031e-05,"2.YEARLING"
"3181",1997,"Striped Bass",4.54002876213024e-06,5.23982388634351e-12,2015,5.34590878939009e-08,9.02659843636659e-06,"2.YEARLING"
"3191",1998,"Striped Bass",1.436939435446e-05,4.49850427635374e-11,2130,1.22349992766629e-06,2.75152887812537e-05,"2.YEARLING"
"3201",1999,"Striped Bass",8.12299330302394e-06,3.59414277083075e-12,2085,4.40718129641981e-06,1.18388053096281e-05,"2.YEARLING"
"3211",2000,"Striped Bass",1.44831389499822e-05,1.74645498250797e-11,2110,6.29217962838712e-06,2.26740982715774e-05,"2.YEARLING"
"3221",2001,"Striped Bass",6.75779295170355e-06,1.21850716996319e-11,2083,-8.40029705164241e-08,1.35995888739235e-05,"2.YEARLING"
"3231",2002,"Striped Bass",6.12057814880465e-06,5.42090739517761e-12,2128,1.55714108346516e-06,1.06840152141441e-05,"2.YEARLING"
"3241",2003,"Striped Bass",1.55512929898711e-05,2.25170565678581e-11,2130,6.25067341313949e-06,2.48519125666027e-05,"2.YEARLING"
"3251",2004,"Striped Bass",1.82959236100083e-05,3.03270578877548e-11,2126,7.50220202838509e-06,2.90896451916315e-05,"2.YEARLING"
"3261",2005,"Striped Bass",2.29956886790522e-05,7.20215693382306e-11,2128,6.36204624061598e-06,3.96293311174884e-05,"2.YEARLING"
"3271",2006,"Striped Bass",1.92706843414269e-05,4.50306693271829e-11,2129,6.11812492178137e-06,3.24232437610724e-05,"2.YEARLING"
"3281",2007,"Striped Bass",2.58826994353242e-06,1.17526905563949e-12,2129,4.63437337385612e-07,4.71310254967924e-06,"2.YEARLING"
"3291",2008,"Striped Bass",2.49118121812259e-05,9.85620114619333e-11,2103,5.45324534725373e-06,4.43703790151981e-05,"2.YEARLING"
"3301",2009,"Striped Bass",1.87085197815668e-05,1.78840084957294e-11,2130,1.04197800078018e-05,2.69972595553318e-05,"2.YEARLING"
"3311",2010,"Striped Bass",3.64475106591259e-05,9.4188228829041e-11,2129,1.74255890982098e-05,5.5469432220042e-05,"2.YEARLING"
"3321",2011,"Striped Bass",2.86494822400566e-05,1.50361965364184e-10,2086,4.61553695129781e-06,5.26834275288154e-05,"2.YEARLING"
"3331",2012,"Striped Bass",7.29293292625479e-06,5.70550089083077e-12,2080,2.61123961910454e-06,1.1974626233405e-05,"2.YEARLING"
